date,open,high,low,close,volume,rsi,ticker,current_price
2024-01-02 00:00:00-05:00,138.55,139.45,136.48,138.17,23711220.0,,GOOGL,207.48
2024-01-03 00:00:00-05:00,137.25,139.63,137.08,138.92,24212147.0,,GOOGL,207.48
2024-01-04 00:00:00-05:00,138.42,139.16,136.35,136.39,27137735.0,,GOOGL,207.48
2024-01-05 00:00:00-05:00,136.745,137.1558,135.15,135.73,22513854.0,,GOOGL,207.48
2024-01-08 00:00:00-05:00,136.29,139.01,136.26,138.84,21403982.0,,GOOGL,207.48
2024-01-09 00:00:00-05:00,138.5,141.485,138.15,140.95,24759598.0,,GOOGL,207.48
2024-01-10 00:00:00-05:00,141.0,143.0,140.91,142.28,21320203.0,,GOOGL,207.48
2024-01-11 00:00:00-05:00,143.49,145.22,140.635,142.08,24008722.0,,GOOGL,207.48
2024-01-12 00:00:00-05:00,142.67,143.195,141.82,142.65,18785514.0,,GOOGL,207.48
2024-01-16 00:00:00-05:00,142.0,144.35,141.45,142.49,22670467.0,,GOOGL,207.48
2024-01-17 00:00:00-05:00,141.345,141.84,138.9,141.47,20968649.0,,GOOGL,207.48
2024-01-18 00:00:00-05:00,142.05,144.21,141.99,143.48,25746417.0,,GOOGL,207.48
2024-01-19 00:00:00-05:00,144.74,146.45,144.38,146.38,34271867.0,,GOOGL,207.48
2024-01-22 00:00:00-05:00,147.1,148.39,145.84,145.99,32099269.0,,GOOGL,207.48
2024-01-23 00:00:00-05:00,145.89,147.182,145.5,147.04,21636129.0,73.60298030867489,GOOGL,207.48
2024-01-24 00:00:00-05:00,148.54,149.855,148.1,148.7,25233450.0,75.89622817838591,GOOGL,207.48
2024-01-25 00:00:00-05:00,150.065,153.05,149.54,151.87,29149069.0,79.54988472657638,GOOGL,207.48
2024-01-26 00:00:00-05:00,151.1,152.535,151.01,152.185,26097894.0,79.87631187107249,GOOGL,207.48
2024-01-29 00:00:00-05:00,152.06,153.78,151.43,153.51,27767291.0,81.23327778619955,GOOGL,207.48
2024-01-30 00:00:00-05:00,152.8,153.62,151.185,151.46,36331833.0,73.02833722322171,GOOGL,207.48
2024-01-31 00:00:00-05:00,143.62,144.0,139.87,140.1,71889544.0,45.56386838352912,GOOGL,207.48
2024-02-01 00:00:00-05:00,142.12,143.06,140.79,141.16,40466549.0,47.546167706006756,GOOGL,207.48
2024-02-02 00:00:00-05:00,139.26,142.62,136.5,142.38,62499574.0,49.8114646930841,GOOGL,207.48
2024-02-05 00:00:00-05:00,142.82,145.47,142.78,143.68,38489305.0,52.181277793095745,GOOGL,207.48
2024-02-06 00:00:00-05:00,144.65,145.36,143.19,144.1,29121701.0,52.95417420641037,GOOGL,207.48
2024-02-07 00:00:00-05:00,144.76,145.615,143.925,145.54,25208862.0,55.60369905411465,GOOGL,207.48
2024-02-08 00:00:00-05:00,145.83,146.33,145.105,145.91,22563764.0,56.284941778602786,GOOGL,207.48
2024-02-09 00:00:00-05:00,146.68,149.44,146.18,149.0,26829504.0,61.58625192788426,GOOGL,207.48
2024-02-12 00:00:00-05:00,148.42,149.335,147.37,147.53,21446485.0,57.983767432371174,GOOGL,207.48
2024-02-13 00:00:00-05:00,144.92,146.67,143.69,145.14,27837730.0,52.596816110540686,GOOGL,207.48
2024-02-14 00:00:00-05:00,146.08,146.52,144.094,145.94,22704166.0,54.132899105983306,GOOGL,207.48
2024-02-15 00:00:00-05:00,143.14,143.52,140.46,142.77,37590695.0,47.55672813882338,GOOGL,207.48
2024-02-16 00:00:00-05:00,142.99,143.19,140.14,140.52,31468926.0,43.51592265926189,GOOGL,207.48
2024-02-20 00:00:00-05:00,139.655,142.08,139.49,141.12,24927710.0,44.86136594380193,GOOGL,207.48
2024-02-21 00:00:00-05:00,141.45,142.69,140.675,142.55,23315687.0,48.038189549399895,GOOGL,207.48
2024-02-22 00:00:00-05:00,144.93,145.0,142.8,144.09,27191892.0,51.292804315520904,GOOGL,207.48
2024-02-23 00:00:00-05:00,143.67,144.68,143.43,143.96,19493752.0,51.00239323252355,GOOGL,207.48
2024-02-26 00:00:00-05:00,142.14,142.44,137.39,137.57,53641795.0,39.24141198255928,GOOGL,207.48
2024-02-27 00:00:00-05:00,138.02,139.25,137.09,138.88,33092790.0,42.18481701203057,GOOGL,207.48
2024-02-28 00:00:00-05:00,137.9,138.01,135.41,136.38,37286675.0,38.36509282498597,GOOGL,207.48
2024-02-29 00:00:00-05:00,137.28,138.86,136.4,138.46,42123053.0,42.99031388696635,GOOGL,207.48
2024-03-01 00:00:00-05:00,138.43,138.87,136.92,137.14,31132116.0,40.89306170072518,GOOGL,207.48
2024-03-04 00:00:00-05:00,135.66,135.66,131.91,133.35,55762415.0,35.5330848414053,GOOGL,207.48
2024-03-05 00:00:00-05:00,131.88,133.24,130.665,132.67,40194757.0,34.65540001717267,GOOGL,207.48
2024-03-06 00:00:00-05:00,133.12,133.58,130.85,131.4,35314110.0,33.01519176666848,GOOGL,207.48
2024-03-07 00:00:00-05:00,132.795,134.94,131.61,134.38,37716609.0,40.17068143354267,GOOGL,207.48
2024-03-08 00:00:00-05:00,134.21,138.085,134.0,135.41,39342392.0,42.45864330060398,GOOGL,207.48
2024-03-11 00:00:00-04:00,136.13,139.095,136.13,137.67,32437772.0,47.2273390679515,GOOGL,207.48
2024-03-12 00:00:00-04:00,137.03,139.375,137.03,138.5,27563354.0,48.902189937667615,GOOGL,207.48
2024-03-13 00:00:00-04:00,139.0,141.09,138.99,139.79,23293208.0,51.479624256146764,GOOGL,207.48
2024-03-14 00:00:00-04:00,141.19,143.585,140.455,143.1,42753387.0,57.41520055868128,GOOGL,207.48
2024-03-15 00:00:00-04:00,142.5,143.18,140.03,141.18,49475417.0,53.33912224274609,GOOGL,207.48
2024-03-18 00:00:00-04:00,148.61,152.15,147.17,147.68,69263199.0,62.93310006985032,GOOGL,207.48
2024-03-19 00:00:00-04:00,148.16,148.7913,146.08,147.03,24070435.0,61.569779191654625,GOOGL,207.48
2024-03-20 00:00:00-04:00,148.0,148.86,146.735,148.74,21311501.0,63.79201795311418,GOOGL,207.48
2024-03-21 00:00:00-04:00,149.47,150.37,146.9001,147.6,24755597.0,61.24922015589331,GOOGL,207.48
2024-03-22 00:00:00-04:00,149.12,151.58,148.98,150.77,29211769.0,65.38152636413115,GOOGL,207.48
2024-03-25 00:00:00-04:00,149.94,150.375,147.82,150.07,19229285.0,63.76450955818439,GOOGL,207.48
2024-03-26 00:00:00-04:00,150.22,152.256,149.98,150.67,22149137.0,64.57328554646996,GOOGL,207.48
2024-03-27 00:00:00-04:00,151.18,151.635,148.9,150.87,22879178.0,64.85487901454675,GOOGL,207.48
2024-03-28 00:00:00-04:00,150.85,151.43,150.17,150.93,24485390.0,64.94490105140122,GOOGL,207.48
2024-04-01 00:00:00-04:00,150.69,155.74,150.61,155.49,31730848.0,71.02031331919257,GOOGL,207.48
2024-04-02 00:00:00-04:00,153.5,154.7,152.15,154.56,24585985.0,68.41604741006003,GOOGL,207.48
2024-04-03 00:00:00-04:00,153.6,155.08,152.73,154.92,24704991.0,68.89158500983878,GOOGL,207.48
2024-04-04 00:00:00-04:00,153.5,154.77,150.45,150.53,34713138.0,57.51862349867057,GOOGL,207.48
2024-04-05 00:00:00-04:00,150.03,153.42,149.6,152.5,23459246.0,60.65737621654627,GOOGL,207.48
2024-04-08 00:00:00-04:00,152.78,155.27,152.61,154.85,20701974.0,64.06794560123186,GOOGL,207.48
2024-04-09 00:00:00-04:00,156.085,158.56,155.19,156.6,30765813.0,66.40361307805091,GOOGL,207.48
2024-04-10 00:00:00-04:00,156.21,156.61,154.68,156.14,22838629.0,65.20381967695597,GOOGL,207.48
2024-04-11 00:00:00-04:00,156.91,159.68,156.46,159.41,27166431.0,69.43202469070076,GOOGL,207.48
2024-04-12 00:00:00-04:00,157.96,160.2225,157.14,157.73,25353746.0,65.05809291269344,GOOGL,207.48
2024-04-15 00:00:00-04:00,158.86,159.24,154.59,154.86,27136472.0,58.30120095810674,GOOGL,207.48
2024-04-16 00:00:00-04:00,154.19,155.65,153.43,154.4,20779495.0,57.27444518075967,GOOGL,207.48
2024-04-17 00:00:00-04:00,155.62,157.08,154.58,155.47,21763130.0,59.07970230740217,GOOGL,207.48
2024-04-18 00:00:00-04:00,155.34,156.94,154.62,156.01,19883044.0,59.99829818228388,GOOGL,207.48
2024-04-19 00:00:00-04:00,156.2,156.36,152.3,154.09,32411039.0,55.24927346552258,GOOGL,207.48
2024-04-22 00:00:00-04:00,154.31,157.64,154.06,156.28,26446206.0,59.2147567556779,GOOGL,207.48
2024-04-23 00:00:00-04:00,156.96,158.97,156.28,158.26,20941726.0,62.45415041916825,GOOGL,207.48
2024-04-24 00:00:00-04:00,157.49,159.565,157.165,159.13,22779112.0,63.81414825359017,GOOGL,207.48
2024-04-25 00:00:00-04:00,151.33,156.49,150.87,156.0,56985430.0,55.960560433948714,GOOGL,207.48
2024-04-26 00:00:00-04:00,174.37,174.71,169.65,171.95,64655299.0,73.71385746168377,GOOGL,207.48
2024-04-29 00:00:00-04:00,169.058,169.55,165.21,166.15,45610024.0,63.66353542585078,GOOGL,207.48
2024-04-30 00:00:00-04:00,165.612,168.1,162.6,162.78,33562861.0,58.65912404220984,GOOGL,207.48
2024-05-01 00:00:00-04:00,164.3,167.12,163.09,163.86,33493151.0,59.751055271320055,GOOGL,207.48
2024-05-02 00:00:00-04:00,164.785,166.73,163.89,166.62,24294549.0,62.47855770255916,GOOGL,207.48
2024-05-03 00:00:00-04:00,167.56,167.96,163.05,167.24,34661632.0,63.083752914012045,GOOGL,207.48
2024-05-06 00:00:00-04:00,167.46,168.14,166.03,168.1,21871283.0,63.95228358972959,GOOGL,207.48
2024-05-07 00:00:00-04:00,168.5,171.76,168.39,171.25,28039696.0,67.01354262626495,GOOGL,207.48
