date,open,high,low,close,volume,rsi,ticker,current_price
2024-01-02 00:00:00-05:00,9.42,9.855,9.335,9.5,3077444.0,,HPP,2.86
2024-01-03 00:00:00-05:00,9.21,9.355,8.92,9.19,3809986.0,,HPP,2.86
2024-01-04 00:00:00-05:00,9.12,9.7,8.94,9.64,3801946.0,,HPP,2.86
2024-01-05 00:00:00-05:00,9.4,9.84,9.34,9.67,3307841.0,,HPP,2.86
2024-01-08 00:00:00-05:00,9.58,9.795,9.49,9.56,3854871.0,,HPP,2.86
2024-01-09 00:00:00-05:00,9.34,9.35,9.11,9.2,4115530.0,,HPP,2.86
2024-01-10 00:00:00-05:00,9.2,9.44,9.18,9.37,2199118.0,,HPP,2.86
2024-01-11 00:00:00-05:00,9.24,9.26,8.77,8.9,4245366.0,,HPP,2.86
2024-01-12 00:00:00-05:00,9.13,9.198,8.76,8.79,3405104.0,,HPP,2.86
2024-01-16 00:00:00-05:00,8.62,8.69,8.45,8.61,2670212.0,,HPP,2.86
2024-01-17 00:00:00-05:00,8.47,8.47,7.99,8.29,6082727.0,,HPP,2.86
2024-01-18 00:00:00-05:00,8.33,8.52,8.145,8.28,2645723.0,,HPP,2.86
2024-01-19 00:00:00-05:00,8.37,8.69,8.195,8.65,1759002.0,,HPP,2.86
2024-01-22 00:00:00-05:00,8.73,8.94,8.715,8.93,1548537.0,,HPP,2.86
2024-01-23 00:00:00-05:00,9.13,9.25,8.59,8.8,1777943.0,39.393939393939405,HPP,2.86
2024-01-24 00:00:00-05:00,9.05,9.055,8.52,8.63,1524622.0,37.32332155477034,HPP,2.86
2024-01-25 00:00:00-05:00,8.88,8.9,8.67,8.8,1765417.0,40.681072737796654,HPP,2.86
2024-01-26 00:00:00-05:00,8.84,8.99,8.675,8.75,1181065.0,40.0022863591919,HPP,2.86
2024-01-29 00:00:00-05:00,8.73,8.955,8.66,8.95,1555146.0,44.02552181901522,HPP,2.86
2024-01-30 00:00:00-05:00,8.82,8.885,8.695,8.75,1307409.0,41.06036136013583,HPP,2.86
2024-01-31 00:00:00-05:00,8.71,8.71,8.1,8.19,4701940.0,34.12911375429297,HPP,2.86
2024-02-01 00:00:00-05:00,8.19,8.21,7.62,7.99,4709469.0,32.04835810196556,HPP,2.86
2024-02-02 00:00:00-05:00,7.74,8.075,7.59,7.99,2684185.0,32.04835810196556,HPP,2.86
2024-02-05 00:00:00-05:00,7.78,7.78,7.56,7.7,1896977.0,29.068123593140058,HPP,2.86
2024-02-06 00:00:00-05:00,7.66,7.81,7.445,7.56,2543387.0,27.727608261831506,HPP,2.86
2024-02-07 00:00:00-05:00,7.58,7.61,7.33,7.48,2418818.0,26.96243371951435,HPP,2.86
2024-02-08 00:00:00-05:00,7.52,7.775,7.44,7.69,2516276.0,32.24791747882301,HPP,2.86
2024-02-09 00:00:00-05:00,7.67,7.81,7.53,7.69,3629257.0,32.24791747882301,HPP,2.86
2024-02-12 00:00:00-05:00,7.77,8.17,7.77,8.04,2311837.0,40.562107864442254,HPP,2.86
2024-02-13 00:00:00-05:00,7.43,7.43,6.51,6.71,8850983.0,27.002033566524617,HPP,2.86
2024-02-14 00:00:00-05:00,6.83,6.97,6.71,6.72,3820006.0,27.19909940602311,HPP,2.86
2024-02-15 00:00:00-05:00,6.8,7.23,6.8,7.23,4323300.0,36.599533310118325,HPP,2.86
2024-02-16 00:00:00-05:00,7.01,7.4,6.865,7.25,3084189.0,36.94339692342763,HPP,2.86
2024-02-20 00:00:00-05:00,6.9,6.99,6.69,6.71,3791714.0,31.91092251910186,HPP,2.86
2024-02-21 00:00:00-05:00,6.66,6.76,6.63,6.69,2317036.0,31.73847706445359,HPP,2.86
2024-02-22 00:00:00-05:00,6.63,6.745,6.49,6.5,2448983.0,30.075691294169488,HPP,2.86
2024-02-23 00:00:00-05:00,6.58,6.675,6.46,6.53,2181402.0,30.693108845615626,HPP,2.86
2024-02-26 00:00:00-05:00,6.49,6.625,6.355,6.4,1784027.0,29.47842878554536,HPP,2.86
2024-02-27 00:00:00-05:00,6.54,6.615,6.435,6.5,2039883.0,31.717020125348313,HPP,2.86
2024-02-28 00:00:00-05:00,6.36,6.67,6.34,6.37,2620473.0,30.367468612149096,HPP,2.86
2024-02-29 00:00:00-05:00,6.56,6.725,6.22,6.34,6047644.0,30.049708096099693,HPP,2.86
2024-03-01 00:00:00-05:00,6.36,6.45,6.21,6.25,2995789.0,29.067059192398943,HPP,2.86
2024-03-04 00:00:00-05:00,6.2,6.655,6.15,6.64,2421980.0,38.45851405583724,HPP,2.86
2024-03-05 00:00:00-05:00,6.53,6.72,6.45,6.59,1373426.0,37.7681148257042,HPP,2.86
2024-03-06 00:00:00-05:00,6.71,6.71,6.415,6.64,2577930.0,38.94840687834497,HPP,2.86
2024-03-07 00:00:00-05:00,6.75,6.89,6.435,6.68,3557729.0,39.92994956749709,HPP,2.86
2024-03-08 00:00:00-05:00,6.92,7.1999,6.8,6.85,2615907.0,44.047203050632426,HPP,2.86
2024-03-11 00:00:00-04:00,6.83,6.96,6.65,6.68,1255055.0,41.019426140292126,HPP,2.86
2024-03-12 00:00:00-04:00,6.64,6.74,6.48,6.58,1718642.0,39.3077579816057,HPP,2.86
2024-03-13 00:00:00-04:00,6.56,6.78,6.56,6.68,1441556.0,41.917858859079864,HPP,2.86
2024-03-14 00:00:00-04:00,6.61,6.64,6.23,6.32,1942043.0,35.92767196491384,HPP,2.86
2024-03-15 00:00:00-04:00,6.2,6.405,6.18,6.38,3087641.0,37.529981255480514,HPP,2.86
2024-03-18 00:00:00-04:00,6.48,6.53,6.37,6.43,1978145.0,38.90121612971105,HPP,2.86
2024-03-19 00:00:00-04:00,6.31,6.42,6.19,6.25,1999740.0,35.850365237154946,HPP,2.86
2024-03-20 00:00:00-04:00,6.18,6.6,6.12,6.54,2145717.0,43.533817659569785,HPP,2.86
2024-03-21 00:00:00-04:00,6.63,6.82,6.58,6.78,2187991.0,48.980095430523235,HPP,2.86
2024-03-22 00:00:00-04:00,6.82,6.82,6.34,6.35,1077960.0,41.294978156298164,HPP,2.86
2024-03-25 00:00:00-04:00,6.38,6.495,6.3,6.3,1622795.0,40.49925115099377,HPP,2.86
2024-03-26 00:00:00-04:00,6.42,6.43,6.11,6.11,1308202.0,37.539067745619654,HPP,2.86
2024-03-27 00:00:00-04:00,6.23,6.455,6.17,6.39,2378363.0,44.0314595645687,HPP,2.86
2024-03-28 00:00:00-04:00,6.44,6.54,6.375,6.45,1724401.0,45.342523110738775,HPP,2.86
2024-04-01 00:00:00-04:00,6.48,6.48,6.29,6.35,2207863.0,43.51302296013654,HPP,2.86
2024-04-02 00:00:00-04:00,6.21,6.26,6.08,6.19,1779950.0,40.68449569361702,HPP,2.86
2024-04-03 00:00:00-04:00,6.1,6.495,6.09,6.37,1753280.0,45.01485279372391,HPP,2.86
2024-04-04 00:00:00-04:00,6.53,6.6,6.165,6.22,1613568.0,42.24692937292001,HPP,2.86
2024-04-05 00:00:00-04:00,6.14,6.31,6.12,6.28,1978261.0,43.73719702775758,HPP,2.86
2024-04-08 00:00:00-04:00,6.35,6.53,6.295,6.45,1681215.0,47.84375419909557,HPP,2.86
2024-04-09 00:00:00-04:00,6.46,6.69,6.45,6.69,2155874.0,53.05339417454202,HPP,2.86
2024-04-10 00:00:00-04:00,6.28,6.35,5.9,6.05,4459051.0,41.227334617086946,HPP,2.86
2024-04-11 00:00:00-04:00,6.07,6.35,6.05,6.33,1747467.0,46.81323521232981,HPP,2.86
2024-04-12 00:00:00-04:00,6.27,6.325,6.105,6.12,2058490.0,43.47581069542813,HPP,2.86
2024-04-15 00:00:00-04:00,6.17,6.22,5.76,5.8,2053983.0,38.92220333614375,HPP,2.86
2024-04-16 00:00:00-04:00,5.67,5.76,5.52,5.72,2052473.0,37.85474027838705,HPP,2.86
2024-04-17 00:00:00-04:00,5.8,5.98,5.75,5.79,1190614.0,39.42031986243544,HPP,2.86
2024-04-18 00:00:00-04:00,5.83,5.935,5.75,5.82,1540157.0,40.11659601231458,HPP,2.86
2024-04-19 00:00:00-04:00,5.8,5.985,5.8,5.93,1716746.0,42.716402032905734,HPP,2.86
