date,open,high,low,close,volume,rsi,ticker,current_price
2024-01-02 00:00:00-05:00,26.51,26.545,25.08,25.87,7183717.0,,S,17.15
2024-01-03 00:00:00-05:00,25.1,25.32,23.8,23.81,9488298.0,,S,17.15
2024-01-04 00:00:00-05:00,23.79,24.135,23.38,23.5,7272899.0,,S,17.15
2024-01-05 00:00:00-05:00,23.25,23.82,23.18,23.67,5891050.0,,S,17.15
2024-01-08 00:00:00-05:00,23.7,24.1,23.395,23.46,5390402.0,,S,17.15
2024-01-09 00:00:00-05:00,23.0,24.18,22.82,24.16,10417445.0,,S,17.15
2024-01-10 00:00:00-05:00,24.29,24.79,24.11,24.53,8708124.0,,S,17.15
2024-01-11 00:00:00-05:00,24.53,24.85,24.16,24.3,5617868.0,,S,17.15
2024-01-12 00:00:00-05:00,24.26,25.555,24.2,25.33,8262867.0,,S,17.15
2024-01-16 00:00:00-05:00,25.0,25.31,24.64,24.8,4963048.0,,S,17.15
2024-01-17 00:00:00-05:00,24.35,24.56,23.375,24.53,3974261.0,,S,17.15
2024-01-18 00:00:00-05:00,25.22,25.39,24.44,24.72,4298981.0,,S,17.15
2024-01-19 00:00:00-05:00,24.89,25.07,24.33,24.84,4860076.0,,S,17.15
2024-01-22 00:00:00-05:00,27.15,27.64,25.76,26.29,8687946.0,,S,17.15
2024-01-23 00:00:00-05:00,26.55,27.21,26.3,26.55,4849474.0,54.30379746835443,S,17.15
2024-01-24 00:00:00-05:00,26.83,27.05,25.69,25.86,4515577.0,49.63510145959415,S,17.15
2024-01-25 00:00:00-05:00,26.22,26.4,25.42,25.76,2881010.0,48.97789607371578,S,17.15
2024-01-26 00:00:00-05:00,25.67,26.52,25.56,26.34,3207216.0,52.87528389510806,S,17.15
2024-01-29 00:00:00-05:00,28.04,28.305,26.93,28.18,7978689.0,62.62818755333889,S,17.15
2024-01-30 00:00:00-05:00,28.5,28.628,27.13,27.62,6223163.0,58.649804095313414,S,17.15
2024-01-31 00:00:00-05:00,27.26,27.69,26.71,26.8,4667876.0,53.30965729027159,S,17.15
2024-02-01 00:00:00-05:00,27.12,27.58,26.41,27.49,4334774.0,56.868441866019026,S,17.15
2024-02-02 00:00:00-05:00,27.33,28.295,27.04,27.55,6206582.0,57.17412237834949,S,17.15
2024-02-05 00:00:00-05:00,27.26,27.77,26.62,27.56,3573018.0,57.22853005918835,S,17.15
2024-02-06 00:00:00-05:00,27.6,27.8,26.53,27.46,4123417.0,56.45611696027462,S,17.15
