date,open,high,low,close,volume,rsi,ticker,current_price
2024-01-02 00:00:00-05:00,2.27,2.4,2.19,2.22,24755066.0,,TLRY,1.37
2024-01-03 00:00:00-05:00,2.18,2.4285,2.12,2.3,36108714.0,,TLRY,1.37
2024-01-04 00:00:00-05:00,2.33,2.33,2.2,2.29,27077560.0,,TLRY,1.37
2024-01-05 00:00:00-05:00,2.23,2.37,2.21,2.28,21576829.0,,TLRY,1.37
2024-01-08 00:00:00-05:00,2.31,2.38,2.25,2.34,27976340.0,,TLRY,1.37
2024-01-09 00:00:00-05:00,2.47,2.54,2.1,2.11,58630246.0,,TLRY,1.37
2024-01-10 00:00:00-05:00,2.11,2.11,1.92,2.0,38811066.0,,TLRY,1.37
2024-01-11 00:00:00-05:00,1.97,2.01,1.85,1.9,35939468.0,,TLRY,1.37
2024-01-12 00:00:00-05:00,1.93,1.97,1.84,1.87,29131120.0,,TLRY,1.37
2024-01-16 00:00:00-05:00,1.92,2.11,1.89,2.09,38976127.0,,TLRY,1.37
2024-01-17 00:00:00-05:00,2.04,2.12,2.01,2.06,21443975.0,,TLRY,1.37
2024-01-18 00:00:00-05:00,2.08,2.11,1.94,1.94,22699109.0,,TLRY,1.37
2024-01-19 00:00:00-05:00,1.95,2.0,1.89,2.0,21473792.0,,TLRY,1.37
2024-01-22 00:00:00-05:00,1.99,2.0799,1.98,2.03,15071483.0,,TLRY,1.37
2024-01-23 00:00:00-05:00,2.05,2.09,2.0,2.03,12763804.0,41.28440366972474,TLRY,1.37
2024-01-24 00:00:00-05:00,2.05,2.06,1.95,1.97,17860139.0,38.97401732178545,TLRY,1.37
2024-01-25 00:00:00-05:00,1.99,2.02,1.945,1.99,14727874.0,40.17583521728208,TLRY,1.37
2024-01-26 00:00:00-05:00,1.98,2.0068,1.91,1.91,12952756.0,37.03409483572422,TLRY,1.37
2024-01-29 00:00:00-05:00,1.91,1.98,1.86,1.96,17246012.0,40.18255318827687,TLRY,1.37
2024-01-30 00:00:00-05:00,1.94,1.96,1.9,1.9,11734244.0,37.743609033262125,TLRY,1.37
2024-01-31 00:00:00-05:00,1.9,1.91,1.82,1.83,21727345.0,35.06923530603008,TLRY,1.37
2024-02-01 00:00:00-05:00,1.84,2.01,1.84,1.96,28183425.0,43.12862891269437,TLRY,1.37
2024-02-02 00:00:00-05:00,1.95,1.97,1.85,1.88,26204129.0,39.850563372856534,TLRY,1.37
2024-02-05 00:00:00-05:00,1.88,1.9,1.81,1.81,16503249.0,37.187155514011565,TLRY,1.37
2024-02-06 00:00:00-05:00,1.83,1.97,1.8,1.97,26169724.0,46.061016047597356,TLRY,1.37
2024-02-07 00:00:00-05:00,1.95,1.9519,1.87,1.89,18407210.0,42.80481333944899,TLRY,1.37
2024-02-08 00:00:00-05:00,1.91,1.92,1.87,1.89,15790931.0,42.80481333944899,TLRY,1.37
2024-02-09 00:00:00-05:00,1.91,1.95,1.87,1.88,15080558.0,42.370581441382306,TLRY,1.37
2024-02-12 00:00:00-05:00,1.88,1.92,1.85,1.89,18182125.0,42.99336793089431,TLRY,1.37
2024-02-13 00:00:00-05:00,1.85,1.86,1.76,1.77,27038418.0,37.72485071009954,TLRY,1.37
2024-02-14 00:00:00-05:00,1.82,1.85,1.75,1.84,21726623.0,42.17623205977519,TLRY,1.37
2024-02-15 00:00:00-05:00,1.84,1.89,1.82,1.85,15823666.0,42.80519241416505,TLRY,1.37
2024-02-16 00:00:00-05:00,1.84,1.92,1.8103,1.92,20466174.0,47.13960280404626,TLRY,1.37
2024-02-20 00:00:00-05:00,1.91,1.91,1.8,1.8,17267188.0,41.35388052099967,TLRY,1.37
2024-02-21 00:00:00-05:00,1.8,1.81,1.75,1.78,17472026.0,40.46251070251687,TLRY,1.37
2024-02-22 00:00:00-05:00,1.79,1.81,1.75,1.79,14864303.0,41.145596578776356,TLRY,1.37
2024-02-23 00:00:00-05:00,1.8,1.81,1.71,1.76,20911472.0,39.67495392293672,TLRY,1.37
2024-02-26 00:00:00-05:00,1.74,1.78,1.71,1.74,13657343.0,38.682318619485436,TLRY,1.37
2024-02-27 00:00:00-05:00,1.75,1.846,1.74,1.81,17317439.0,43.96645605566076,TLRY,1.37
2024-02-28 00:00:00-05:00,1.8,1.81,1.75,1.75,13523296.0,40.7267470901892,TLRY,1.37
2024-02-29 00:00:00-05:00,1.76,1.78,1.72,1.73,13780047.0,39.67723048033254,TLRY,1.37
2024-03-01 00:00:00-05:00,1.76,1.76,1.71,1.73,11366070.0,39.67723048033254,TLRY,1.37
2024-03-04 00:00:00-05:00,1.73,1.738,1.67,1.7,17135602.0,37.97481377922563,TLRY,1.37
2024-03-05 00:00:00-05:00,1.68,1.69,1.63,1.65,20567924.0,35.25941826264125,TLRY,1.37
2024-03-06 00:00:00-05:00,1.66,1.7,1.63,1.63,20293287.0,34.20580334019397,TLRY,1.37
2024-03-07 00:00:00-05:00,1.635,1.67,1.6,1.64,17575149.0,35.2476811385244,TLRY,1.37
2024-03-08 00:00:00-05:00,1.67,1.765,1.66,1.7,23667151.0,41.25820520695883,TLRY,1.37
2024-03-11 00:00:00-04:00,1.69,1.73,1.67,1.67,10327499.0,39.294210685405744,TLRY,1.37
2024-03-12 00:00:00-04:00,1.68,1.71,1.66,1.68,8415140.0,40.314127879126715,TLRY,1.37
2024-03-13 00:00:00-04:00,1.68,1.71,1.66,1.67,7708769.0,39.597672503340966,TLRY,1.37
2024-03-14 00:00:00-04:00,1.67,1.68,1.6,1.6,11860123.0,34.91943935102361,TLRY,1.37
2024-03-15 00:00:00-04:00,1.63,1.74,1.6097,1.73,24236854.0,47.35810312136201,TLRY,1.37
2024-03-18 00:00:00-04:00,1.82,2.04,1.74,1.92,63746631.0,59.531989174854814,TLRY,1.37
2024-03-19 00:00:00-04:00,1.87,1.96,1.8,1.92,31023477.0,59.531989174854814,TLRY,1.37
2024-03-20 00:00:00-04:00,1.96,2.0158,1.88,1.98,37636284.0,62.69185320667094,TLRY,1.37
2024-03-21 00:00:00-04:00,1.96,2.02,1.91,1.95,26251084.0,60.16234562225396,TLRY,1.37
2024-03-22 00:00:00-04:00,1.98,2.37,1.94,2.31,96072271.0,73.81554322352613,TLRY,1.37
2024-03-25 00:00:00-04:00,2.31,2.37,2.11,2.15,53809431.0,63.413379596775904,TLRY,1.37
2024-03-26 00:00:00-04:00,2.09,2.46,2.07,2.31,70707053.0,68.23419411134967,TLRY,1.37
2024-03-27 00:00:00-04:00,2.33,2.525,2.24,2.48,61091557.0,72.39601622094592,TLRY,1.37
2024-03-28 00:00:00-04:00,2.48,2.635,2.4,2.47,51923745.0,71.80010103524435,TLRY,1.37
2024-04-01 00:00:00-04:00,2.44,2.48,2.325,2.43,35787989.0,69.34139267121134,TLRY,1.37
2024-04-02 00:00:00-04:00,2.41,2.57,2.37,2.41,43468212.0,68.08595775827683,TLRY,1.37
2024-04-03 00:00:00-04:00,2.41,2.85,2.35,2.85,75019774.0,77.66612494940566,TLRY,1.37
2024-04-04 00:00:00-04:00,2.95,2.97,2.63,2.68,82430323.0,69.04252031067249,TLRY,1.37
2024-04-05 00:00:00-04:00,2.605,2.74,2.49,2.595,40067508.0,65.14750071144704,TLRY,1.37
2024-04-08 00:00:00-04:00,2.59,2.77,2.54,2.59,38801070.0,64.91550646054141,TLRY,1.37
2024-04-09 00:00:00-04:00,2.12,2.25,2.0,2.055,80329892.0,46.02814175557099,TLRY,1.37
2024-04-10 00:00:00-04:00,1.97,2.17,1.96,2.02,34913141.0,45.103586358720285,TLRY,1.37
2024-04-11 00:00:00-04:00,2.03,2.03,1.87,1.9,42051496.0,41.98938363109555,TLRY,1.37
2024-04-12 00:00:00-04:00,1.89,1.97,1.78,1.82,36449198.0,40.00622783613049,TLRY,1.37
2024-04-15 00:00:00-04:00,1.84,1.87,1.76,1.78,32565190.0,39.01404212120704,TLRY,1.37
2024-04-16 00:00:00-04:00,1.76,1.89,1.75,1.83,38554677.0,40.984319985236446,TLRY,1.37
2024-04-17 00:00:00-04:00,1.85,1.88,1.7,1.72,40091224.0,38.07030769126057,TLRY,1.37
2024-04-18 00:00:00-04:00,1.75,1.79,1.69,1.72,30521569.0,38.07030769126057,TLRY,1.37
2024-04-19 00:00:00-04:00,1.71,1.76,1.7,1.73,20678885.0,38.531100576612936,TLRY,1.37
2024-04-22 00:00:00-04:00,1.75,1.77,1.65,1.72,22870437.0,38.22480774290039,TLRY,1.37
2024-04-23 00:00:00-04:00,1.72,1.87,1.71,1.84,25194421.0,43.97969500307571,TLRY,1.37
2024-04-24 00:00:00-04:00,1.83,1.85,1.78,1.84,17933233.0,43.97969500307571,TLRY,1.37
2024-04-25 00:00:00-04:00,1.79,1.8,1.74,1.75,18404481.0,40.68308745397855,TLRY,1.37
2024-04-26 00:00:00-04:00,1.77,1.85,1.75,1.78,20427438.0,42.23735415373297,TLRY,1.37
2024-04-29 00:00:00-04:00,1.8,1.85,1.76,1.77,16919559.0,41.84376673677836,TLRY,1.37
2024-04-30 00:00:00-04:00,1.78,2.515,1.74,2.47,154326981.0,65.8400652597318,TLRY,1.37
2024-05-01 00:00:00-04:00,2.29,2.34,1.96,2.02,93648766.0,51.21116185094708,TLRY,1.37
2024-05-02 00:00:00-04:00,2.06,2.2,2.01,2.02,38034026.0,51.21116185094708,TLRY,1.37
2024-05-03 00:00:00-04:00,2.05,2.17,2.04,2.1,31589584.0,53.34831523170768,TLRY,1.37
2024-05-06 00:00:00-04:00,2.14,2.22,2.04,2.05,32689913.0,51.820463502968664,TLRY,1.37
2024-05-07 00:00:00-04:00,2.03,2.08,1.98,1.98,23305123.0,49.67552101930481,TLRY,1.37
2024-05-08 00:00:00-04:00,1.96,2.0,1.93,1.95,17118386.0,48.74431404666153,TLRY,1.37
2024-05-09 00:00:00-04:00,1.96,2.03,1.91,1.98,20737875.0,49.75857663454893,TLRY,1.37
2024-05-10 00:00:00-04:00,1.99,2.025,1.92,1.93,14859514.0,48.05189578316902,TLRY,1.37
2024-05-13 00:00:00-04:00,1.95,2.12,1.95,1.99,19828424.0,50.25677223466203,TLRY,1.37
2024-05-14 00:00:00-04:00,2.21,2.31,2.07,2.09,59363373.0,53.778019622734426,TLRY,1.37
2024-05-15 00:00:00-04:00,2.12,2.15,2.03,2.07,18884244.0,52.97039332471507,TLRY,1.37
2024-05-16 00:00:00-04:00,2.04,2.23,1.98,2.12,65262185.0,54.798021251454585,TLRY,1.37
