date,open,high,low,close,volume,rsi,ticker,current_price
2024-01-02 00:00:00-05:00,38.62,39.91,38.05,38.74,26443704.0,,TNA,42.28
2024-01-03 00:00:00-05:00,37.43,37.595,35.36,35.54,35973642.0,,TNA,42.28
2024-01-04 00:00:00-05:00,35.5,36.2,35.285,35.39,23818679.0,,TNA,42.28
2024-01-05 00:00:00-05:00,34.71,36.2,34.48,35.01,29144880.0,,TNA,42.28
2024-01-08 00:00:00-05:00,35.0,37.02,34.47,36.99,23375903.0,,TNA,42.28
2024-01-09 00:00:00-05:00,35.53,36.33,34.96,35.86,24763140.0,,TNA,42.28
2024-01-10 00:00:00-05:00,35.75,36.105,34.83,35.91,22593320.0,,TNA,42.28
2024-01-11 00:00:00-05:00,35.59,35.73,33.82,35.08,30844034.0,,TNA,42.28
2024-01-12 00:00:00-05:00,36.3,36.9,34.53,34.85,24888837.0,,TNA,42.28
2024-01-16 00:00:00-05:00,34.01,34.3293,33.15,33.56,19770488.0,,TNA,42.28
2024-01-17 00:00:00-05:00,32.12,33.04,31.79,32.8,20018889.0,,TNA,42.28
2024-01-18 00:00:00-05:00,33.41,33.66,32.13,33.39,25282643.0,,TNA,42.28
2024-01-19 00:00:00-05:00,33.68,34.52,32.625,34.32,29809338.0,,TNA,42.28
2024-01-22 00:00:00-05:00,35.21,36.6299,35.1706,36.53,28179632.0,,TNA,42.28
2024-01-23 00:00:00-05:00,37.39,37.61,35.5935,36.1,28797461.0,40.67796610169492,TNA,42.28
2024-01-24 00:00:00-05:00,37.45,37.51,35.11,35.23,31716541.0,38.15346988688474,TNA,42.28
2024-01-25 00:00:00-05:00,36.7,37.0,35.26,36.05,26534660.0,41.8185170163342,TNA,42.28
2024-01-26 00:00:00-05:00,36.6,37.11,35.7501,36.08,23769332.0,41.954044780334364,TNA,42.28
2024-01-29 00:00:00-05:00,36.17,37.95,35.58,37.95,21167852.0,49.80322557437702,TNA,42.28
2024-01-30 00:00:00-05:00,37.37,37.67,36.63,36.99,20866070.0,46.33894675646921,TNA,42.28
2024-01-31 00:00:00-05:00,36.68,37.65,34.175,34.2,39264173.0,38.054256720952814,TNA,42.28
2024-02-01 00:00:00-05:00,35.02,35.7499,33.52,35.66,34124234.0,43.72427596667604,TNA,42.28
