date,open,high,low,close,volume,rsi,ticker,current_price
2024-01-02 00:00:00-05:00,77.16,77.22,77.15,77.18,3714508.0,,VCSH,79.86
2024-01-03 00:00:00-05:00,77.02,77.1661,77.01,77.13,5046657.0,,VCSH,79.86
2024-01-04 00:00:00-05:00,77.06,77.08,77.01,77.07,5224042.0,,VCSH,79.86
2024-01-05 00:00:00-05:00,77.0,77.205,76.97,77.005,2351110.0,,VCSH,79.86
2024-01-08 00:00:00-05:00,77.12,77.2199,77.02,77.15,3971083.0,,VCSH,79.86
2024-01-09 00:00:00-05:00,77.1,77.21,77.1,77.18,8503730.0,,VCSH,79.86
2024-01-10 00:00:00-05:00,77.23,77.29,77.17,77.22,3447973.0,,VCSH,79.86
2024-01-11 00:00:00-05:00,77.3,77.47,77.25,77.46,3732182.0,,VCSH,79.86
2024-01-12 00:00:00-05:00,77.67,77.6958,77.55,77.64,3083465.0,,VCSH,79.86
2024-01-16 00:00:00-05:00,77.5,77.59,77.375,77.43,21890580.0,,VCSH,79.86
2024-01-17 00:00:00-05:00,77.26,77.28,77.18,77.26,6742940.0,,VCSH,79.86
2024-01-18 00:00:00-05:00,77.32,77.34,77.24,77.285,3774594.0,,VCSH,79.86
2024-01-19 00:00:00-05:00,77.28,77.28,77.16,77.25,12938020.0,,VCSH,79.86
2024-01-22 00:00:00-05:00,77.28,77.36,77.28,77.32,5479314.0,,VCSH,79.86
2024-01-23 00:00:00-05:00,77.25,77.3,77.2301,77.3,3903930.0,54.47761194029818,VCSH,79.86
2024-01-24 00:00:00-05:00,77.41,77.44,77.25,77.255,3979329.0,52.57617728531816,VCSH,79.86
2024-01-25 00:00:00-05:00,77.44,77.45,77.35,77.44,5001973.0,58.92362777306092,VCSH,79.86
2024-01-26 00:00:00-05:00,77.44,77.4457,77.36,77.36,3519991.0,55.46634236305059,VCSH,79.86
2024-01-29 00:00:00-05:00,77.47,77.51,77.433,77.475,4312435.0,59.1745909322311,VCSH,79.86
2024-01-30 00:00:00-05:00,77.46,77.54,77.355,77.45,5565539.0,58.04308250714239,VCSH,79.86
2024-01-31 00:00:00-05:00,77.59,77.725,77.53,77.62,8308322.0,63.19660323748756,VCSH,79.86
2024-02-01 00:00:00-05:00,77.58,77.61,77.41,77.54,8559803.0,59.49325996702756,VCSH,79.86
2024-02-02 00:00:00-05:00,77.21,77.4,77.2025,77.3,4999856.0,50.02274322328434,VCSH,79.86
2024-02-05 00:00:00-05:00,77.22,77.22,77.07,77.11,5243502.0,44.04509319290418,VCSH,79.86
2024-02-06 00:00:00-05:00,77.16,77.32,77.15,77.25,5835019.0,48.891452782840595,VCSH,79.86
2024-02-07 00:00:00-05:00,77.2,77.34,77.2,77.23,4250766.0,48.24854552698607,VCSH,79.86
2024-02-08 00:00:00-05:00,77.23,77.23,77.14,77.15,4388894.0,45.66202895807154,VCSH,79.86
2024-02-09 00:00:00-05:00,77.1,77.17,77.09,77.16,8317565.0,46.051348611346505,VCSH,79.86
2024-02-12 00:00:00-05:00,77.2,77.23,77.14,77.2,4451773.0,47.66655097831072,VCSH,79.86
2024-02-13 00:00:00-05:00,76.99,76.99,76.8423,76.87,10534253.0,37.65124315865016,VCSH,79.86
2024-02-14 00:00:00-05:00,76.9,77.04,76.9,77.04,8669832.0,44.160236244798774,VCSH,79.86
2024-02-15 00:00:00-05:00,77.19,77.19,77.06,77.14,4648030.0,47.624043674344556,VCSH,79.86
2024-02-16 00:00:00-05:00,77.01,77.0199,76.94,77.0,3841877.0,43.55098326884495,VCSH,79.86
2024-02-20 00:00:00-05:00,77.11,77.16,77.09,77.12,4112611.0,47.68135345614485,VCSH,79.86
2024-02-21 00:00:00-05:00,77.12,77.17,77.03,77.06,2961542.0,45.87395675842907,VCSH,79.86
2024-02-22 00:00:00-05:00,77.05,77.1199,77.0,77.02,4955511.0,44.65860093141778,VCSH,79.86
2024-02-23 00:00:00-05:00,77.03,77.1,77.0,77.05,5137626.0,45.818013795756336,VCSH,79.86
2024-02-26 00:00:00-05:00,77.01,77.05,76.91,76.95,7436078.0,42.61324971548295,VCSH,79.86
2024-02-27 00:00:00-05:00,76.98,77.02,76.93,76.96,4183764.0,43.042288957825356,VCSH,79.86
2024-02-28 00:00:00-05:00,76.96,77.02,76.96,77.02,2920422.0,45.66702021060994,VCSH,79.86
2024-02-29 00:00:00-05:00,77.02,77.1,76.98,77.03,5460151.0,46.11272975245029,VCSH,79.86
2024-03-01 00:00:00-05:00,76.77,77.02,76.7,77.0,3949105.0,44.92215964841488,VCSH,79.86
2024-03-04 00:00:00-05:00,77.0,77.0,76.91,76.93,3967611.0,42.18527499687943,VCSH,79.86
2024-03-05 00:00:00-05:00,77.0,77.115,77.0,77.05,4003408.0,48.03063382961294,VCSH,79.86
2024-03-06 00:00:00-05:00,77.17,77.1899,77.05,77.08,2561547.0,49.407783403231946,VCSH,79.86
2024-03-07 00:00:00-05:00,77.15,77.2,77.14,77.2,3459799.0,54.59122438957705,VCSH,79.86
2024-03-08 00:00:00-05:00,77.3,77.37,77.26,77.28,3297485.0,57.702527291590535,VCSH,79.86
2024-03-11 00:00:00-04:00,77.28,77.31,77.22,77.24,2209716.0,55.649391792553416,VCSH,79.86
2024-03-12 00:00:00-04:00,77.15,77.215,77.125,77.155,2223370.0,51.4592399412366,VCSH,79.86
2024-03-13 00:00:00-04:00,77.12,77.2,77.12,77.12,2646407.0,49.79658287020767,VCSH,79.86
2024-03-14 00:00:00-04:00,77.06,77.11,76.98,77.0,2348180.0,44.48907575647155,VCSH,79.86
