date,open,high,low,close,volume,rsi
2025-01-02 00:00:00-05:00,17.4,17.63,16.83,17.0,19027519.0,
2025-01-03 00:00:00-05:00,17.03,17.03,16.27,16.97,23806983.0,
2025-01-06 00:00:00-05:00,17.64,17.94,17.38,17.52,31834608.0,
2025-01-07 00:00:00-05:00,17.58,17.99,17.53,17.69,25491193.0,
2025-01-08 00:00:00-05:00,17.53,17.72,17.075,17.6,23093606.0,
2025-01-10 00:00:00-05:00,17.93,18.45,17.8,18.38,43954004.0,
2025-01-13 00:00:00-05:00,17.915,17.98,17.32,17.6,28427221.0,
2025-01-14 00:00:00-05:00,17.79,18.24,17.79,18.21,26175829.0,
2025-01-15 00:00:00-05:00,18.54,18.56,17.97,18.07,20401951.0,
2025-01-16 00:00:00-05:00,18.02,18.33,17.78,18.29,22031769.0,
2025-01-17 00:00:00-05:00,18.55,18.57,18.16,18.27,20438502.0,
2025-01-21 00:00:00-05:00,18.52,18.65,18.27,18.64,30731602.0,
2025-01-22 00:00:00-05:00,19.085,19.1,18.37,18.66,58392393.0,
2025-01-23 00:00:00-05:00,17.3,17.536,16.73,17.03,94892398.0,
2025-01-24 00:00:00-05:00,16.845,17.34,16.55,16.96,37782479.0,49.635036496350374
2025-01-27 00:00:00-05:00,16.82,17.54,16.705,17.2,40497957.0,51.90348525469169
2025-01-28 00:00:00-05:00,17.08,17.47,16.955,17.15,29817403.0,51.38423846467944
2025-01-29 00:00:00-05:00,17.14,17.34,16.9405,17.33,24719434.0,53.19940251211
2025-01-30 00:00:00-05:00,16.93,17.23,16.8,16.9,42121224.0,48.53717054877164
2025-01-31 00:00:00-05:00,16.96,17.23,16.91,16.92,30197038.0,48.762088833391935
2025-02-03 00:00:00-05:00,16.39,16.82,16.22,16.7,32955679.0,46.36177238411589
2025-02-04 00:00:00-05:00,16.75,16.935,16.7,16.84,28810055.0,48.1121896255726
2025-02-05 00:00:00-05:00,16.85,17.22,16.51,16.96,27641325.0,49.62952337453204
2025-02-06 00:00:00-05:00,17.08,17.32,16.955,17.06,25501425.0,50.91760954292304
2025-02-07 00:00:00-05:00,17.07,17.4,17.0202,17.17,22457827.0,52.360758187880485
2025-02-10 00:00:00-05:00,17.2,17.2,16.56,16.62,27672557.0,45.20399188589192
2025-02-11 00:00:00-05:00,16.43,16.56,16.1348,16.41,29009418.0,42.79862139890276
2025-02-12 00:00:00-05:00,16.38,16.6,16.14,16.26,24572959.0,41.11567880527614
2025-02-13 00:00:00-05:00,16.36,16.5,15.475,15.74,41583709.0,35.852419579783785
2025-02-14 00:00:00-05:00,15.835,15.98,15.64,15.97,29250908.0,39.53906468873302
2025-02-18 00:00:00-05:00,15.88,16.32,15.85,16.08,28428741.0,41.27729235328372
2025-02-19 00:00:00-05:00,16.0,16.145,15.8,16.0,24500996.0,40.36831225623326
2025-02-20 00:00:00-05:00,15.955,16.095,15.57,15.86,32618404.0,38.759718000864225
2025-02-21 00:00:00-05:00,15.93,16.07,15.09,15.23,55669403.0,32.48631037785263
2025-02-24 00:00:00-05:00,15.38,15.52,15.21,15.31,42730658.0,33.94828922868871
2025-02-25 00:00:00-05:00,15.37,15.37,14.8,15.13,48363126.0,32.2558060986844
2025-02-26 00:00:00-05:00,15.47,15.66,15.17,15.18,43181075.0,33.251283841651826
2025-02-27 00:00:00-05:00,15.12,15.15,14.21,14.53,56503075.0,27.577829187548772
2025-02-28 00:00:00-05:00,14.565,14.7499,14.27,14.35,49730968.0,26.242500393024812
