date,open,high,low,close,volume,rsi
2025-01-02 00:00:00-05:00,2.76,2.76,2.52,2.56,32138.0,
2025-01-03 00:00:00-05:00,2.6516,2.69,2.51,2.63,36645.0,
2025-01-06 00:00:00-05:00,2.7,2.8295,2.54,2.59,33277.0,
2025-01-07 00:00:00-05:00,2.67,2.7014,2.5101,2.59,58629.0,
2025-01-08 00:00:00-05:00,2.57,2.74,2.33,2.36,21910.0,
2025-01-10 00:00:00-05:00,2.4,2.429,2.01,2.27,5383631.0,
2025-01-13 00:00:00-05:00,2.17,2.214,1.86,1.9,146203.0,
2025-01-14 00:00:00-05:00,4.49,5.8,2.85,3.15,131280318.0,
2025-01-15 00:00:00-05:00,3.0,3.9,2.8001,3.7,3713574.0,
2025-01-16 00:00:00-05:00,3.7,4.18,3.6014,3.91,1289324.0,
2025-01-17 00:00:00-05:00,4.15,4.15,3.71,3.85,709951.0,
2025-01-21 00:00:00-05:00,3.99,3.99,3.43,3.7,524991.0,
2025-01-22 00:00:00-05:00,3.75,3.75,3.49,3.49,235364.0,
2025-01-23 00:00:00-05:00,3.2,3.56,2.95,3.25,222639.0,
2025-01-24 00:00:00-05:00,3.34,3.94,3.3016,3.65,1458502.0,64.08268733850129
2025-01-27 00:00:00-05:00,3.53,3.7,3.34,3.57,202964.0,62.6871475792339
2025-01-28 00:00:00-05:00,3.65,3.66,3.45,3.47,70046.0,60.90178584402563
2025-01-29 00:00:00-05:00,3.58,3.66,3.4,3.48,79276.0,61.021338524678754
2025-01-30 00:00:00-05:00,3.66,3.72,3.4,3.55,116945.0,61.89958185990022
2025-01-31 00:00:00-05:00,3.74,3.74,3.27,3.29,194612.0,56.78206680484584
2025-02-03 00:00:00-05:00,3.21,3.8499,3.18,3.64,334070.0,61.40751230093758
2025-02-04 00:00:00-05:00,3.63,3.74,3.5101,3.62,74756.0,61.005715261846206
2025-02-05 00:00:00-05:00,3.73,3.73,3.4018,3.47,61506.0,57.94349877516997
2025-02-06 00:00:00-05:00,3.44,3.5,3.32,3.44,81231.0,57.32375146515082
2025-02-07 00:00:00-05:00,3.36,3.6,3.27,3.4,184947.0,56.456692198406955
2025-02-10 00:00:00-05:00,3.57,3.57,3.06,3.1,157042.0,50.310340804006366
2025-02-11 00:00:00-05:00,4.2999,11.51,3.95,8.4,195409794.0,83.82125020121981
2025-02-12 00:00:00-05:00,10.73,14.4499,10.57,12.97,94554576.0,90.0514766570659
2025-02-13 00:00:00-05:00,16.75,17.2,14.05,15.46,40641845.0,91.88509913056257
2025-02-14 00:00:00-05:00,12.745,12.82,8.71,9.01,12153592.0,60.68396881919543
