date,open,high,low,close,volume,rsi
2025-01-02 00:00:00-05:00,9.41,9.5,9.32,9.35,11818780.0,
2025-01-03 00:00:00-05:00,9.34,9.38,9.285,9.33,11864829.0,
2025-01-06 00:00:00-05:00,9.58,9.69,9.405,9.43,20667043.0,
2025-01-07 00:00:00-05:00,9.52,9.605,9.47,9.5,16161771.0,
2025-01-08 00:00:00-05:00,9.45,9.56,9.39,9.55,11701808.0,
2025-01-10 00:00:00-05:00,9.47,9.5458,9.4,9.41,17117065.0,
2025-01-13 00:00:00-05:00,9.39,9.53,9.365,9.52,14664102.0,
2025-01-14 00:00:00-05:00,9.58,9.63,9.5,9.52,16246989.0,
2025-01-15 00:00:00-05:00,9.64,9.74,9.51,9.61,28543614.0,
2025-01-16 00:00:00-05:00,9.6,9.71,9.53,9.7,19268004.0,
2025-01-17 00:00:00-05:00,9.74,9.74,9.67,9.7,15008015.0,
2025-01-21 00:00:00-05:00,9.73,9.82,9.725,9.79,19948362.0,
2025-01-22 00:00:00-05:00,9.75,9.77,9.67,9.72,13924620.0,
2025-01-23 00:00:00-05:00,9.73,9.8,9.66,9.77,10823090.0,
2025-01-24 00:00:00-05:00,9.79,9.82,9.73,9.76,13350910.0,73.03370786516862
2025-01-27 00:00:00-05:00,9.8,9.93,9.76,9.89,16134389.0,76.6990291262137
2025-01-28 00:00:00-05:00,9.88,9.92,9.77,9.81,12625008.0,70.36100131752313
2025-01-29 00:00:00-05:00,9.86,9.885,9.72,9.75,19675292.0,65.95867583292483
2025-01-30 00:00:00-05:00,9.72,9.76,9.66,9.75,14169933.0,65.95867583292483
2025-01-31 00:00:00-05:00,9.74,9.79,9.65,9.72,28181743.0,63.64935888868767
2025-02-03 00:00:00-05:00,9.59,9.62,9.4,9.56,34455479.0,52.99290412760245
2025-02-04 00:00:00-05:00,9.91,10.06,9.79,10.05,39765713.0,69.7154058849688
2025-02-05 00:00:00-05:00,10.12,10.365,10.11,10.22,43104244.0,73.26844202588265
2025-02-06 00:00:00-05:00,10.19,10.22,10.0,10.03,24467747.0,64.20238599313242
2025-02-07 00:00:00-05:00,10.05,10.05,9.89,10.02,17235428.0,63.7552409549269
2025-02-10 00:00:00-05:00,10.02,10.085,9.96,10.04,14438807.0,64.29090290232
2025-02-11 00:00:00-05:00,9.94,10.04,9.94,10.03,13863892.0,63.78331953267587
2025-02-12 00:00:00-05:00,9.95,10.04,9.875,9.99,11897910.0,61.6854182525915
2025-02-13 00:00:00-05:00,10.125,10.14,10.04,10.1,15676937.0,65.08629751588552
2025-02-14 00:00:00-05:00,10.15,10.19,10.04,10.07,10333471.0,63.432611813232306
2025-02-18 00:00:00-05:00,10.1,10.17,10.07,10.17,19294438.0,66.48903681686383
2025-02-19 00:00:00-05:00,10.2,10.22,10.055,10.2,17360965.0,67.37016801272091
2025-02-20 00:00:00-05:00,10.19,10.4,10.17,10.39,27458868.0,72.33206208734948
2025-02-21 00:00:00-05:00,10.4,10.4299,10.23,10.25,21710353.0,64.5437081095092
2025-02-24 00:00:00-05:00,10.3,10.36,10.2,10.26,27510287.0,64.83496920934383
2025-02-25 00:00:00-05:00,10.31,10.365,10.29,10.32,15199142.0,66.60742346260841
2025-02-26 00:00:00-05:00,10.24,10.29,10.065,10.09,38357297.0,55.13505440729814
2025-02-27 00:00:00-05:00,10.06,10.14,10.02,10.06,23715494.0,53.832625172594035
2025-02-28 00:00:00-05:00,10.06,10.14,10.02,10.12,30796220.0,56.0678610325321
2025-03-03 00:00:00-05:00,10.18,10.375,10.1,10.13,32491741.0,56.44634390093906
2025-03-04 00:00:00-05:00,10.07,10.12,9.94,9.96,36349720.0,48.75630911571634
2025-03-05 00:00:00-05:00,10.0,10.14,9.97,10.07,24972496.0,53.199280012291474
2025-03-06 00:00:00-05:00,10.0,10.12,9.97,10.11,26476029.0,54.73614800271795
2025-03-07 00:00:00-05:00,10.08,10.33,10.06,10.29,26289497.0,60.95051057073061
2025-03-10 00:00:00-04:00,10.32,10.45,10.205,10.26,30670318.0,59.48468044279505
2025-03-11 00:00:00-04:00,10.27,10.27,9.95,10.0,31506352.0,48.58025346091207
2025-03-12 00:00:00-04:00,9.97,10.02,9.88,9.93,21600825.0,46.1285020007282
2025-03-13 00:00:00-04:00,9.915,10.005,9.595,9.63,22734391.0,37.41373744230301
2025-03-14 00:00:00-04:00,9.74,9.79,9.65,9.78,19053372.0,43.19264277984091
2025-03-17 00:00:00-04:00,9.78,9.88,9.78,9.84,16962790.0,45.365726267190155
2025-03-18 00:00:00-04:00,9.83,9.93,9.76,9.92,25436727.0,48.21043315817605
2025-03-19 00:00:00-04:00,9.87,9.91,9.74,9.84,21890815.0,45.650645411135535
2025-03-20 00:00:00-04:00,9.82,9.84,9.6844,9.72,29462944.0,42.044463122797886
2025-03-21 00:00:00-04:00,9.66,9.66,9.25,9.44,61913346.0,35.080880833245445
