date,open,high,low,close,volume,rsi
2025-01-02 00:00:00-05:00,1.56,1.64,1.52,1.61,36537662.0,
2025-01-03 00:00:00-05:00,1.61,1.75,1.58,1.72,47979176.0,
2025-01-06 00:00:00-05:00,1.77,1.82,1.73,1.76,59313460.0,
2025-01-07 00:00:00-05:00,1.74,1.76,1.61,1.69,46546106.0,
2025-01-08 00:00:00-05:00,1.65,1.665,1.57,1.62,41966302.0,
2025-01-10 00:00:00-05:00,1.6,1.62,1.53,1.61,42969969.0,
2025-01-13 00:00:00-05:00,1.53,1.57,1.47,1.56,31066722.0,
2025-01-14 00:00:00-05:00,1.62,1.625,1.53,1.57,33723537.0,
2025-01-15 00:00:00-05:00,1.64,1.69,1.61,1.67,45215165.0,
2025-01-16 00:00:00-05:00,1.65,1.69,1.62,1.64,38016910.0,
2025-01-17 00:00:00-05:00,1.72,1.78,1.67,1.68,49313603.0,
2025-01-21 00:00:00-05:00,1.74,1.74,1.63,1.67,53222718.0,
2025-01-22 00:00:00-05:00,1.62,1.68,1.58,1.66,46341318.0,
2025-01-23 00:00:00-05:00,1.63,1.73,1.61,1.61,56061927.0,
2025-01-24 00:00:00-05:00,1.63,1.7,1.61,1.63,38079766.0,51.612903225806434
2025-01-27 00:00:00-05:00,1.5695,1.5695,1.36,1.4,57755940.0,36.879432624113456
2025-01-28 00:00:00-05:00,1.428,1.45,1.37,1.4,23267932.0,36.879432624113456
2025-01-29 00:00:00-05:00,1.4,1.46,1.36,1.44,51694391.0,40.3158604817269
2025-01-30 00:00:00-05:00,1.45,1.54,1.44,1.5,53848362.0,45.14049238970329
2025-01-31 00:00:00-05:00,1.5,1.54,1.43,1.45,59541190.0,42.08726342721289
2025-02-03 00:00:00-05:00,1.315,1.49,1.31,1.4,64703882.0,39.22971917906098
2025-02-04 00:00:00-05:00,1.39,1.5,1.39,1.48,27029617.0,45.59458259371324
2025-02-05 00:00:00-05:00,1.46,1.5,1.41,1.41,31102015.0,41.498892495206
2025-02-06 00:00:00-05:00,1.42,1.4852,1.39,1.41,29468274.0,41.498892495206
2025-02-07 00:00:00-05:00,1.46,1.505,1.41,1.42,41253031.0,42.35678595844425
2025-02-10 00:00:00-05:00,1.42,1.44,1.38,1.39,29161948.0,40.440788942587076
2025-02-11 00:00:00-05:00,1.395,1.4,1.31,1.31,37748995.0,35.79132369295306
2025-02-12 00:00:00-05:00,1.29,1.4,1.28,1.36,51930282.0,40.40313472951424
2025-02-13 00:00:00-05:00,1.3699,1.42,1.34,1.4,32915455.0,43.876098942482365
2025-02-14 00:00:00-05:00,1.4,1.45,1.39,1.42,23526085.0,45.58360154232638
2025-02-18 00:00:00-05:00,1.41,1.47,1.38,1.4,30393183.0,44.13747695395196
2025-02-19 00:00:00-05:00,1.41,1.46,1.4,1.41,24297491.0,45.07572165843603
2025-02-20 00:00:00-05:00,1.42,1.43,1.37,1.39,26390759.0,43.502029528344885
2025-02-21 00:00:00-05:00,1.405,1.42,1.29,1.32,56563451.0,38.44320722234425
2025-02-24 00:00:00-05:00,1.315,1.32,1.23,1.24,42380699.0,33.629914255322475
2025-02-25 00:00:00-05:00,1.195,1.21,1.09,1.13,35083067.0,28.370094645361362
2025-02-26 00:00:00-05:00,1.115,1.19,1.11,1.13,22036501.0,28.370094645361362
2025-02-27 00:00:00-05:00,1.16,1.21,1.09,1.09,25533190.0,26.6145916685048
2025-02-28 00:00:00-05:00,1.075,1.17,1.06,1.16,34043756.0,34.27882688119399
2025-03-03 00:00:00-05:00,1.28,1.3,1.09,1.1,40817936.0,31.264764952760302
2025-03-04 00:00:00-05:00,1.08,1.18,1.06,1.14,42998962.0,35.346207168250075
2025-03-05 00:00:00-05:00,1.14,1.18,1.11,1.18,32322998.0,39.23211953367436
2025-03-06 00:00:00-05:00,1.13,1.18,1.08,1.12,34911732.0,35.76016192465457
2025-03-07 00:00:00-05:00,1.11,1.26,1.08,1.24,42959931.0,46.04463322181881
2025-03-10 00:00:00-04:00,1.17,1.215,1.08,1.11,31063390.0,38.798036829334855
