date,open,high,low,close,volume,rsi
2025-01-02 00:00:00-05:00,56.93,57.38,56.52,56.79,9093682.0,
2025-01-03 00:00:00-05:00,56.34,56.8,56.31,56.57,9534168.0,
2025-01-06 00:00:00-05:00,56.31,57.03,55.94,56.68,9459644.0,
2025-01-07 00:00:00-05:00,56.68,57.67,56.52,57.14,10814589.0,
2025-01-08 00:00:00-05:00,56.98,57.05,56.05,56.81,11995933.0,
2025-01-10 00:00:00-05:00,56.36,56.52,55.63,55.83,9681256.0,
2025-01-13 00:00:00-05:00,55.68,55.79,54.81,55.36,7120725.0,
2025-01-14 00:00:00-05:00,55.5,55.98,55.46,55.74,7409906.0,
2025-01-15 00:00:00-05:00,56.13,56.74,55.66,55.91,8458376.0,
2025-01-16 00:00:00-05:00,55.84,56.415,55.08,56.38,9060985.0,
2025-01-17 00:00:00-05:00,56.0,56.62,55.55,56.29,10911604.0,
2025-01-21 00:00:00-05:00,56.625,57.68,56.55,57.04,9113241.0,
2025-01-22 00:00:00-05:00,56.49,57.39,55.95,57.09,8439818.0,
2025-01-23 00:00:00-05:00,57.14,59.25,57.02,59.14,14504335.0,
2025-01-24 00:00:00-05:00,59.11,60.0,59.1,59.67,12677548.0,70.39660056657223
2025-01-27 00:00:00-05:00,60.61,61.1,59.865,60.6,10882597.0,74.07442748091601
2025-01-28 00:00:00-05:00,60.28,60.59,58.74,58.76,9232578.0,58.570317578233805
2025-01-29 00:00:00-05:00,59.08,59.74,58.805,59.05,6780928.0,59.991644851883635
2025-01-30 00:00:00-05:00,59.29,59.35,58.58,59.14,8128562.0,60.445180147889104
2025-01-31 00:00:00-05:00,59.18,60.23,58.67,58.95,11345358.0,58.926498295262164
2025-02-03 00:00:00-05:00,58.79,60.31,58.55,59.95,13978223.0,64.04657511147573
2025-02-04 00:00:00-05:00,58.87,59.85,58.7272,59.12,11718482.0,57.625706470374304
2025-02-05 00:00:00-05:00,59.64,60.36,59.23,59.71,12600823.0,60.645975495446116
2025-02-06 00:00:00-05:00,57.37,59.38,56.91,57.42,25072332.0,46.72522342272329
2025-02-07 00:00:00-05:00,57.46,57.71,56.19,56.85,14340175.0,44.01687828298454
2025-02-10 00:00:00-05:00,56.8,56.87,54.6,55.53,16656772.0,38.457598388165216
2025-02-11 00:00:00-05:00,55.4,56.305,55.1,55.94,8724186.0,40.95218034160282
2025-02-12 00:00:00-05:00,55.67,56.54,55.4536,56.15,8502886.0,42.24353071966413
2025-02-13 00:00:00-05:00,56.25,56.26,55.63,55.97,8917178.0,41.407622836902235
2025-02-14 00:00:00-05:00,56.025,56.025,53.66,53.9,13227242.0,33.25740684482578
2025-02-18 00:00:00-05:00,53.72,54.59,53.54,54.43,10918486.0,36.693217847218136
2025-02-19 00:00:00-05:00,54.41,54.98,54.12,54.98,10770896.0,40.13715371346857
2025-02-20 00:00:00-05:00,55.02,55.82,54.8,55.79,8953527.0,44.891899181941426
2025-02-21 00:00:00-05:00,55.43,56.055,54.85,55.83,11105501.0,45.123699693884205
2025-02-24 00:00:00-05:00,55.97,58.0,55.95,57.88,13215773.0,55.46314123609679
2025-02-25 00:00:00-05:00,58.3,59.94,58.165,58.21,15344053.0,56.87183942428771
2025-02-26 00:00:00-05:00,58.16,58.42,57.22,57.38,7273128.0,52.38391854498222
2025-02-27 00:00:00-05:00,57.34,58.82,56.96,58.8,9812080.0,58.428163574074865
2025-02-28 00:00:00-05:00,58.97,59.74,57.92,59.62,20219694.0,61.46975172961901
2025-03-03 00:00:00-05:00,59.75,59.92,59.01,59.87,11214072.0,62.3736186471394
2025-03-04 00:00:00-05:00,59.96,60.69,59.285,59.44,16502150.0,59.776187601384926
2025-03-05 00:00:00-05:00,59.43,60.26,59.38,59.82,9706964.0,61.309556393507734
2025-03-06 00:00:00-05:00,59.94,60.7,59.03,60.18,10682422.0,62.7579948048709
2025-03-07 00:00:00-05:00,60.45,63.11,60.27,61.09,18538231.0,66.20233900358492
2025-03-10 00:00:00-04:00,60.95,63.16,60.72,63.11,20295726.0,72.32171715886437
2025-03-11 00:00:00-04:00,62.8,63.33,61.2277,61.51,14637898.0,62.64630636885454
2025-03-12 00:00:00-04:00,60.72,60.82,59.52,59.81,10812350.0,54.32960921777241
2025-03-13 00:00:00-04:00,59.99,60.76,59.79,60.28,8990365.0,56.06616274294329
2025-03-14 00:00:00-04:00,59.84,59.99,58.715,59.01,11905738.0,50.48058186340829
2025-03-17 00:00:00-04:00,59.16,60.13,58.364,59.99,9666769.0,54.26680409490342
2025-03-18 00:00:00-04:00,59.88,60.26,59.535,59.9,9967868.0,53.85952305902269
2025-03-19 00:00:00-04:00,59.86,60.55,59.46,60.08,8304189.0,54.593517019348084
2025-03-20 00:00:00-04:00,59.86,61.07,59.78,60.42,12197382.0,56.0167906967503
2025-03-21 00:00:00-04:00,60.23,61.34,59.84,61.07,25865519.0,58.68313966179399
2025-03-24 00:00:00-04:00,60.79,61.245,59.97,61.05,11976777.0,58.56549473285138
2025-03-25 00:00:00-04:00,61.21,61.49,59.18,59.19,10969113.0,48.77274414321604
2025-03-26 00:00:00-04:00,59.32,59.685,58.53,59.21,11580633.0,48.87174195804053
2025-03-27 00:00:00-04:00,59.18,59.56,58.77,58.9,8751448.0,47.3444911926137
2025-03-28 00:00:00-04:00,59.4,60.11,58.23,60.02,10791624.0,53.05275055244234
2025-03-31 00:00:00-04:00,59.8,61.64,59.37,60.99,11616280.0,57.36374379393155
2025-04-01 00:00:00-04:00,60.77,61.1,59.235,59.55,9623818.0,50.02046001401506
2025-04-02 00:00:00-04:00,59.81,60.24,59.155,59.6,8309961.0,50.25856218468389
2025-04-03 00:00:00-04:00,60.6,60.8,57.66,57.82,13246920.0,42.49677463627392
2025-04-04 00:00:00-04:00,56.82,57.1688,54.72,55.3,14657946.0,34.39753521839448
2025-04-07 00:00:00-04:00,53.9,55.3,52.69,55.19,16820458.0,34.092100183638635
2025-04-08 00:00:00-04:00,55.17,55.765,52.16,53.07,16335145.0,28.786770967380576
2025-04-09 00:00:00-04:00,51.2,54.045,49.92,53.74,24323859.0,32.36880156399495
2025-04-10 00:00:00-04:00,53.33,53.42,48.82,50.46,23973336.0,25.58420209519838
2025-04-11 00:00:00-04:00,50.47,51.01,49.29,50.71,13411255.0,26.84285274421852
2025-04-14 00:00:00-04:00,51.53,51.6,50.55,51.34,14310298.0,30.053490669800127
2025-04-15 00:00:00-04:00,51.22,51.5,49.665,50.0,15684426.0,27.308267531619038
2025-04-16 00:00:00-04:00,50.1,50.4,48.84,49.36,14990999.0,26.082813503112376
2025-04-17 00:00:00-04:00,49.18,50.09,49.06,49.23,14244541.0,25.829263882005833
2025-04-21 00:00:00-04:00,49.35,49.6699,48.16,48.94,10338684.0,25.239831077274673
2025-04-22 00:00:00-04:00,49.31,50.055,48.88,49.82,13375998.0,30.42813353524376
2025-04-23 00:00:00-04:00,47.63,49.33,47.54,48.53,23936567.0,27.42363651705952
2025-04-24 00:00:00-04:00,47.94,48.8448,46.93,48.69,20579336.0,28.368384912356333
