date,open,high,low,close,volume,rsi
2025-01-02 00:00:00-05:00,7.02,7.06,6.835,6.86,4352597.0,
2025-01-03 00:00:00-05:00,6.86,6.93,6.72,6.81,7539871.0,
2025-01-06 00:00:00-05:00,6.92,7.035,6.84,6.84,6151033.0,
2025-01-07 00:00:00-05:00,6.9,7.16,6.87,6.95,3445204.0,
2025-01-08 00:00:00-05:00,6.85,6.95,6.69,6.81,5596788.0,
2025-01-10 00:00:00-05:00,6.71,6.75,6.63,6.67,4564760.0,
2025-01-13 00:00:00-05:00,6.64,6.8,6.59,6.77,5566988.0,
2025-01-14 00:00:00-05:00,6.78,6.835,6.68,6.74,3372996.0,
2025-01-15 00:00:00-05:00,6.93,7.01,6.87,6.91,7159485.0,
2025-01-16 00:00:00-05:00,6.97,7.29,6.96,7.2,6377190.0,
2025-01-17 00:00:00-05:00,7.24,7.265,7.13,7.14,3332030.0,
2025-01-21 00:00:00-05:00,7.2,7.34,7.095,7.29,6877290.0,
2025-01-22 00:00:00-05:00,7.36,7.48,7.33,7.39,6913592.0,
2025-01-23 00:00:00-05:00,7.32,7.42,7.265,7.4,4162521.0,
2025-01-24 00:00:00-05:00,7.45,7.56,7.4,7.45,5475283.0,70.6293706293706
2025-01-27 00:00:00-05:00,7.45,7.71,7.45,7.61,6761622.0,73.78780604896781
2025-01-28 00:00:00-05:00,7.54,7.58,7.35,7.36,4061527.0,62.48162856874824
2025-01-29 00:00:00-05:00,7.4,7.46,7.21,7.26,4198888.0,58.61289310801569
2025-01-30 00:00:00-05:00,7.33,7.525,7.27,7.48,4650284.0,63.907577634336064
2025-01-31 00:00:00-05:00,7.4,7.465,7.32,7.33,5743928.0,58.41989423281911
2025-02-03 00:00:00-05:00,7.15,7.16,7.005,7.1,5215088.0,51.16500226731551
2025-02-04 00:00:00-05:00,7.07,7.07,6.865,6.97,5140545.0,47.56919670002774
2025-02-05 00:00:00-05:00,6.96,7.0,6.75,6.79,6090769.0,43.057067875145066
2025-02-06 00:00:00-05:00,6.91,7.04,6.81,6.85,6300191.0,44.93213717645686
2025-02-07 00:00:00-05:00,6.79,6.835,6.68,6.76,5557066.0,42.66278130938197
2025-02-10 00:00:00-05:00,6.81,6.83,6.65,6.77,10608070.0,43.007216542796435
2025-02-11 00:00:00-05:00,7.0,7.1,6.13,6.14,16781017.0,30.55435211330294
2025-02-12 00:00:00-05:00,6.04,6.06,5.67,5.68,12705410.0,24.887826452921686
2025-02-13 00:00:00-05:00,5.72,5.76,5.64,5.75,10333620.0,27.103349369623842
2025-02-14 00:00:00-05:00,5.78,5.84,5.545,5.58,8363522.0,25.16223677871419
2025-02-18 00:00:00-05:00,5.58,5.68,5.51,5.65,9532333.0,27.465821873647428
2025-02-19 00:00:00-05:00,5.59,5.64,5.42,5.53,10530035.0,25.988958802157413
2025-02-20 00:00:00-05:00,5.51,5.73,5.51,5.65,13157594.0,30.040136285822
2025-02-21 00:00:00-05:00,5.68,5.75,5.64,5.71,6924318.0,32.04309964906268
2025-02-24 00:00:00-05:00,5.7,6.075,5.675,5.99,14148176.0,40.59114293021024
2025-02-25 00:00:00-05:00,6.05,6.075,5.86,5.93,8863854.0,39.44611702566688
2025-02-26 00:00:00-05:00,5.96,5.97,5.76,5.77,11884829.0,36.49006492782525
2025-02-27 00:00:00-05:00,5.67,5.83,5.668,5.72,8497998.0,35.59242913992864
2025-02-28 00:00:00-05:00,5.71,5.755,5.57,5.69,11574527.0,35.035538076652244
2025-03-03 00:00:00-05:00,5.78,5.84,5.46,5.47,7199794.0,31.182449786154166
2025-03-04 00:00:00-05:00,5.41,5.61,5.35,5.52,8268368.0,32.98628099282992
