date,open,high,low,close,volume,rsi
2025-01-02 00:00:00-05:00,2.1,2.11,1.99,2.02,2325964.0,
2025-01-03 00:00:00-05:00,2.05,2.1,2.0,2.03,1769586.0,
2025-01-06 00:00:00-05:00,2.03,2.089,2.005,2.02,1483888.0,
2025-01-07 00:00:00-05:00,2.06,2.06,2.0,2.02,947127.0,
2025-01-08 00:00:00-05:00,2.01,2.055,2.0,2.02,945711.0,
2025-01-10 00:00:00-05:00,2.02,2.25,2.005,2.19,4238692.0,
2025-01-13 00:00:00-05:00,2.16,2.24,2.12,2.15,2438149.0,
2025-01-14 00:00:00-05:00,2.15,2.171,2.0,2.01,3158385.0,
2025-01-15 00:00:00-05:00,2.06,2.11,1.92,1.93,1841989.0,
2025-01-16 00:00:00-05:00,1.91,1.95,1.7824,1.9,512994.0,
2025-01-17 00:00:00-05:00,1.93,1.97,1.85,1.91,395716.0,
2025-01-21 00:00:00-05:00,1.9,1.91,1.81,1.84,607393.0,
2025-01-22 00:00:00-05:00,1.86,1.86,1.73,1.75,395512.0,
2025-01-23 00:00:00-05:00,1.8,1.87,1.745,1.82,494299.0,
2025-01-24 00:00:00-05:00,1.82,1.92,1.8,1.82,677486.0,36.11111111111111
2025-01-27 00:00:00-05:00,1.82,1.82,1.63,1.75,947987.0,32.68858800773694
2025-01-28 00:00:00-05:00,1.73,1.78,1.7,1.76,277185.0,33.65596128464584
2025-01-29 00:00:00-05:00,1.75,1.77,1.65,1.68,520355.0,29.947903596559016
2025-01-30 00:00:00-05:00,1.71,1.76,1.7,1.73,160912.0,34.78408699633897
2025-01-31 00:00:00-05:00,1.75,1.79,1.59,1.61,364467.0,29.517213297020973
2025-02-03 00:00:00-05:00,1.66,1.71,1.6,1.61,552701.0,29.517213297020973
2025-02-04 00:00:00-05:00,1.6,1.69,1.6,1.67,458227.0,35.20632281622339
2025-02-05 00:00:00-05:00,1.7,1.72,1.585,1.62,376903.0,32.82831510585706
2025-02-06 00:00:00-05:00,1.65,1.685,1.59,1.68,420394.0,38.22093548677653
2025-02-07 00:00:00-05:00,1.66,1.75,1.66,1.73,524981.0,42.37281239305694
2025-02-10 00:00:00-05:00,1.89,1.97,1.81,1.91,1794110.0,54.284075816660135
2025-02-11 00:00:00-05:00,1.96,2.11,1.92,2.09,3612909.0,62.60746178193361
2025-02-12 00:00:00-05:00,2.05,2.07,1.925,1.94,3042975.0,53.81449840984522
2025-02-13 00:00:00-05:00,2.01,2.12,1.99,2.06,3433945.0,58.79971526600752
2025-02-14 00:00:00-05:00,2.12,2.2,2.08,2.16,2402976.0,62.43825855673106
2025-02-18 00:00:00-05:00,2.19,2.22,2.02,2.05,1977622.0,56.52477319673183
2025-02-19 00:00:00-05:00,2.09,2.1,1.95,2.0,2018162.0,54.02032562584007
2025-02-20 00:00:00-05:00,2.0,2.055,1.91,1.95,2541128.0,51.56011831557644
2025-02-21 00:00:00-05:00,2.0,2.108,2.0,2.04,3893239.0,55.48958273775066
2025-02-24 00:00:00-05:00,2.09,2.115,2.015,2.05,2405930.0,55.91747938194835
2025-02-25 00:00:00-05:00,2.05,2.24,2.03,2.15,3668593.0,60.053137009892744
2025-02-26 00:00:00-05:00,2.16,2.35,2.15,2.33,5607344.0,66.19998221253985
2025-02-27 00:00:00-05:00,2.39,2.49,2.3,2.39,6001842.0,67.96927533456397
2025-02-28 00:00:00-05:00,2.5,2.5,2.06,2.16,3423020.0,55.891432587070874
