date,open,high,low,close,volume,rsi
2025-01-02 00:00:00-05:00,4.98,5.7,4.9405,5.53,13367245.0,
2025-01-03 00:00:00-05:00,5.53,5.82,5.285,5.67,9043812.0,
2025-01-06 00:00:00-05:00,5.79,6.01,5.48,5.52,10333535.0,
2025-01-07 00:00:00-05:00,5.56,5.7,5.355,5.39,6291489.0,
2025-01-08 00:00:00-05:00,5.3,5.39,4.96,5.18,9789749.0,
2025-01-10 00:00:00-05:00,5.06,5.17,4.76,4.96,7841841.0,
2025-01-13 00:00:00-05:00,4.75,4.79,4.495,4.74,8323929.0,
2025-01-14 00:00:00-05:00,4.87,4.95,4.46,4.6,6434978.0,
2025-01-15 00:00:00-05:00,4.68,5.265,4.655,5.2,9536109.0,
2025-01-16 00:00:00-05:00,5.29,6.345,5.09,6.16,17837803.0,
2025-01-17 00:00:00-05:00,6.14,6.47,5.92,6.02,9392649.0,
2025-01-21 00:00:00-05:00,6.08,6.14,5.1,5.74,14775395.0,
2025-01-22 00:00:00-05:00,5.77,5.91,5.5812,5.84,5473715.0,
2025-01-23 00:00:00-05:00,5.88,6.23,5.72,6.19,7878033.0,
2025-01-24 00:00:00-05:00,6.25,6.64,5.97,6.08,7668678.0,57.333333333333336
2025-01-27 00:00:00-05:00,5.84,6.155,5.67,5.85,6663511.0,53.781027515874534
2025-01-28 00:00:00-05:00,5.885,5.99,5.265,5.68,8908256.0,51.253297222574865
2025-01-29 00:00:00-05:00,5.65,5.86,5.32,5.44,4875970.0,47.83511314325065
2025-01-30 00:00:00-05:00,5.54,6.28,5.54,5.81,11750100.0,53.0353151611218
2025-01-31 00:00:00-05:00,5.86,6.199,5.73,5.74,6099898.0,51.979578272294134
2025-02-03 00:00:00-05:00,5.36,5.8,5.29,5.61,4934879.0,49.98937143328166
2025-02-04 00:00:00-05:00,5.61,6.115,5.43,5.94,7367162.0,54.72797773985096
2025-02-05 00:00:00-05:00,5.97,6.08,5.33,5.39,8063898.0,46.77334430696473
2025-02-06 00:00:00-05:00,5.51,5.63,5.34,5.46,4531461.0,47.81300845010084
2025-02-07 00:00:00-05:00,5.48,5.72,5.3,5.33,4760272.0,46.0153921024871
2025-02-10 00:00:00-05:00,5.33,5.595,5.14,5.4,5977031.0,47.167236039513774
2025-02-11 00:00:00-05:00,5.21,5.42,4.81,4.91,11961377.0,40.63182714356309
2025-02-12 00:00:00-05:00,4.7,5.09,4.6,4.97,6987580.0,41.697103581995826
2025-02-13 00:00:00-05:00,5.005,5.28,4.91,5.23,4302262.0,46.201968800661874
2025-02-14 00:00:00-05:00,5.255,5.2632,4.8917,4.9,4031966.0,41.78855819979211
2025-02-18 00:00:00-05:00,4.898,5.01,4.68,4.98,5568493.0,43.20495529538433
2025-02-19 00:00:00-05:00,5.02,5.11,4.78,4.82,5355831.0,41.05345663362766
2025-02-20 00:00:00-05:00,4.63,4.805,4.38,4.75,8242808.0,40.112329816997295
2025-02-21 00:00:00-05:00,4.785,4.83,4.47,4.48,4967053.0,36.624754844481195
