date,open,high,low,close,volume,rsi
2025-01-02 00:00:00-05:00,6.28,6.52,6.19,6.41,26070877.0,
2025-01-03 00:00:00-05:00,6.32,6.4799,6.26,6.26,18053962.0,
2025-01-06 00:00:00-05:00,6.2,6.3671,6.1,6.34,16724447.0,
2025-01-07 00:00:00-05:00,6.25,6.47,6.21,6.38,22163419.0,
2025-01-08 00:00:00-05:00,6.39,6.51,6.31,6.33,22050819.0,
2025-01-10 00:00:00-05:00,6.5,6.86,6.475,6.79,20810245.0,
2025-01-13 00:00:00-05:00,6.9,6.92,6.635,6.66,19650274.0,
2025-01-14 00:00:00-05:00,6.59,6.61,6.385,6.4,20335375.0,
2025-01-15 00:00:00-05:00,5.99,6.1,5.86,5.9,19430052.0,
2025-01-16 00:00:00-05:00,5.94,5.94,5.79,5.81,15884562.0,
2025-01-17 00:00:00-05:00,5.77,5.83,5.63,5.67,13117633.0,
2025-01-21 00:00:00-05:00,5.62,5.62,5.505,5.53,14521924.0,
2025-01-22 00:00:00-05:00,5.55,5.67,5.53,5.6,13204451.0,
2025-01-23 00:00:00-05:00,5.58,5.6,5.48,5.52,9684840.0,
2025-01-24 00:00:00-05:00,5.57,5.58,5.45,5.48,10477646.0,29.147982062780272
2025-01-27 00:00:00-05:00,5.52,5.5499,5.285,5.29,21699210.0,26.698262243285924
2025-01-28 00:00:00-05:00,5.33,5.385,5.25,5.33,12831768.0,28.06887834195902
2025-01-29 00:00:00-05:00,5.38,5.38,5.19,5.33,16762355.0,28.068878341959007
2025-01-30 00:00:00-05:00,5.22,5.2878,5.1,5.19,31387010.0,26.088754660554244
2025-01-31 00:00:00-05:00,5.18,5.29,5.13,5.29,17453757.0,29.893139367773102
2025-02-03 00:00:00-05:00,5.53,5.61,5.31,5.34,28431095.0,31.783810747091167
2025-02-04 00:00:00-05:00,5.34,5.4386,5.31,5.4,12763507.0,34.08118040707832
2025-02-05 00:00:00-05:00,5.33,5.4,5.22,5.22,12702716.0,30.7368531618484
2025-02-06 00:00:00-05:00,5.13,5.2,5.09,5.1,18656785.0,28.713926460694324
2025-02-07 00:00:00-05:00,5.09,5.2,5.06,5.2,26829829.0,32.68956229483935
2025-02-10 00:00:00-05:00,5.16,5.38,5.15,5.33,16459897.0,37.56442150912661
2025-02-11 00:00:00-05:00,5.33,5.439,5.2401,5.27,19741666.0,36.25918189675027
2025-02-12 00:00:00-05:00,5.38,5.4699,5.33,5.34,21346351.0,38.92545865933035
2025-02-13 00:00:00-05:00,5.28,5.3599,5.205,5.22,18334341.0,36.1349525803341
2025-02-14 00:00:00-05:00,5.22,5.2299,5.14,5.21,15451808.0,35.90396158920339
2025-02-18 00:00:00-05:00,5.2,5.225,5.09,5.1,15349678.0,33.37649377667367
2025-02-19 00:00:00-05:00,5.14,5.1799,5.0801,5.09,16580166.0,33.14804273054281
2025-02-20 00:00:00-05:00,5.115,5.44,5.115,5.34,37060529.0,43.55052609872101
