date,open,high,low,close,volume,rsi
2025-01-02 00:00:00-05:00,63.89,64.09,63.25,63.54,3360610.0,
2025-01-03 00:00:00-05:00,63.55,64.2,63.32,63.88,3200492.0,
2025-01-06 00:00:00-05:00,63.53,63.65,61.45,61.5,5393116.0,
2025-01-07 00:00:00-05:00,61.66,62.2,60.82,60.89,4046989.0,
2025-01-08 00:00:00-05:00,60.58,60.99,59.7,60.97,5362388.0,
2025-01-10 00:00:00-05:00,60.2,60.43,58.27,58.5,5938040.0,
2025-01-13 00:00:00-05:00,58.91,59.565,58.45,59.33,6108061.0,
2025-01-14 00:00:00-05:00,59.12,59.34,58.56,58.78,5140212.0,
2025-01-15 00:00:00-05:00,59.01,59.2,58.2,58.31,4951262.0,
2025-01-16 00:00:00-05:00,58.07,59.28,57.94,59.16,3794858.0,
2025-01-17 00:00:00-05:00,59.13,59.78,59.085,59.63,4458375.0,
2025-01-21 00:00:00-05:00,59.94,61.0,59.87,60.06,4676863.0,
2025-01-22 00:00:00-05:00,59.98,60.46,59.23,59.32,4112954.0,
2025-01-23 00:00:00-05:00,59.2,59.65,59.0505,59.56,3450578.0,
2025-01-24 00:00:00-05:00,59.54,60.4,59.41,60.38,3522955.0,35.992907801418454
2025-01-27 00:00:00-05:00,61.45,63.111,61.45,61.64,5232602.0,42.865838811784755
2025-01-28 00:00:00-05:00,61.21,61.66,59.76,59.8,3885598.0,36.67296937843509
2025-01-29 00:00:00-05:00,59.95,60.46,59.63,59.9,2879266.0,37.20395134883414
2025-01-30 00:00:00-05:00,60.38,60.95,59.83,60.65,3233279.0,41.18695120040809
2025-01-31 00:00:00-05:00,60.22,60.81,60.05,60.14,4017745.0,39.358794746605206
2025-02-03 00:00:00-05:00,59.86,60.1932,58.97,59.87,5434888.0,38.38734560487494
2025-02-04 00:00:00-05:00,59.76,59.7696,58.58,58.91,4615091.0,35.0726823621753
2025-02-05 00:00:00-05:00,58.91,59.62,58.67,59.55,4122212.0,38.86278035031958
2025-02-06 00:00:00-05:00,60.23,60.26,59.01,59.24,4992181.0,37.71437220748298
2025-02-07 00:00:00-05:00,59.22,59.37,58.61,58.82,7988073.0,36.15550504893885
2025-02-10 00:00:00-05:00,58.76,58.88,57.85,58.08,4940190.0,33.526128738340844
2025-02-11 00:00:00-05:00,58.0,59.41,57.87,59.35,4481715.0,41.40230666571422
2025-02-12 00:00:00-05:00,58.63,59.26,58.1,58.44,5724796.0,37.93401426169847
2025-02-13 00:00:00-05:00,58.48,59.645,58.245,59.54,4581313.0,44.03681976773858
2025-02-14 00:00:00-05:00,59.72,60.52,58.82,58.84,4690560.0,41.2567186415615
2025-02-18 00:00:00-05:00,56.85,57.64,55.15,57.56,8367263.0,36.6948163663237
2025-02-19 00:00:00-05:00,57.6,58.23,57.435,57.99,3864467.0,39.129816959137166
2025-02-20 00:00:00-05:00,57.59,59.23,57.59,59.19,2953371.0,45.437261382893254
2025-02-21 00:00:00-05:00,59.25,61.2942,59.19,61.0,5218860.0,53.29804587376608
2025-02-24 00:00:00-05:00,60.63,62.3698,60.24,61.34,5465122.0,54.62060014721099
2025-02-25 00:00:00-05:00,61.45,62.54,61.37,61.59,5410599.0,55.61589485193503
2025-02-26 00:00:00-05:00,61.1,61.27,59.07,59.29,5311492.0,45.68780404655877
