date,open,high,low,close,volume,rsi
2025-01-02 00:00:00-05:00,2.0,2.02,1.98,1.99,16421539.0,
2025-01-03 00:00:00-05:00,2.01,2.01,1.93,1.97,13732361.0,
2025-01-06 00:00:00-05:00,2.01,2.08,1.98,1.99,15929362.0,
2025-01-07 00:00:00-05:00,2.0,2.07,2.0,2.02,15914460.0,
2025-01-08 00:00:00-05:00,2.0,2.035,1.95,2.02,13819744.0,
2025-01-10 00:00:00-05:00,1.98,1.99,1.88,1.9,20420451.0,
2025-01-13 00:00:00-05:00,1.9,1.9,1.82,1.83,16513046.0,
2025-01-14 00:00:00-05:00,1.9,1.915,1.82,1.85,11595676.0,
2025-01-15 00:00:00-05:00,1.88,1.91,1.85,1.86,10277872.0,
2025-01-16 00:00:00-05:00,1.88,1.885,1.84,1.87,5376573.0,
2025-01-17 00:00:00-05:00,1.9,2.0,1.8909,1.94,29473034.0,
2025-01-21 00:00:00-05:00,1.99,2.03,1.94,1.98,23621296.0,
2025-01-22 00:00:00-05:00,1.96,2.01,1.91,1.95,19911946.0,
2025-01-23 00:00:00-05:00,1.95,2.03,1.945,2.0,18962686.0,
2025-01-24 00:00:00-05:00,2.01,2.32,2.01,2.23,54625546.0,66.66666666666666
2025-01-27 00:00:00-05:00,2.21,2.3,2.13,2.23,37910927.0,66.66666666666666
2025-01-28 00:00:00-05:00,2.28,2.281,2.12,2.23,25568606.0,66.66666666666666
2025-01-29 00:00:00-05:00,2.23,2.3,2.13,2.16,32110366.0,59.44800216469741
2025-01-30 00:00:00-05:00,2.2,2.39,2.18,2.32,26685985.0,67.98194437596894
2025-01-31 00:00:00-05:00,2.32,2.32,2.14,2.17,40125258.0,56.069065634317475
2025-02-03 00:00:00-05:00,2.09,2.19,2.05,2.09,25307357.0,50.94185342650842
2025-02-04 00:00:00-05:00,2.17,2.29,2.15,2.21,33263873.0,57.25592929255672
2025-02-05 00:00:00-05:00,2.17,2.23,2.14,2.17,18803284.0,54.72740603877986
2025-02-06 00:00:00-05:00,2.27,2.405,2.23,2.33,44054294.0,61.96332514421318
2025-02-07 00:00:00-05:00,2.4,2.45,2.32,2.38,30736265.0,63.9048454410808
2025-02-10 00:00:00-05:00,2.45,2.54,2.39,2.4,28120651.0,64.68142724568773
2025-02-11 00:00:00-05:00,2.36,2.37,2.27,2.29,21081510.0,57.370472367162805
2025-02-12 00:00:00-05:00,2.3,2.6,2.27,2.53,52781528.0,66.31625139719921
2025-02-13 00:00:00-05:00,2.46,2.5999,2.45,2.52,28010090.0,65.69762174031459
2025-02-14 00:00:00-05:00,2.69,2.73,2.48,2.54,37994958.0,66.3732538650425
2025-02-18 00:00:00-05:00,2.415,2.415,2.26,2.305,35858981.0,53.131129606583904
2025-02-19 00:00:00-05:00,2.345,2.49,2.25,2.42,25338674.0,57.590210287494244
2025-02-20 00:00:00-05:00,2.185,2.26,2.1,2.18,74376793.0,47.44522466188303
2025-02-21 00:00:00-05:00,2.26,2.39,2.25,2.255,53324840.0,50.38651061828865
2025-02-24 00:00:00-05:00,2.185,2.19,2.04,2.1,43427205.0,44.805515279147286
2025-02-25 00:00:00-05:00,2.13,2.16,2.08,2.09,19214780.0,44.46333701774295
2025-02-26 00:00:00-05:00,2.16,2.2,2.1,2.11,20675772.0,45.36206832151187
2025-02-27 00:00:00-05:00,2.11,2.2,2.08,2.17,34450337.0,48.07674395543598
2025-02-28 00:00:00-05:00,2.08,2.15,2.06,2.08,24774056.0,44.50478588318373
2025-03-03 00:00:00-05:00,2.1,2.11,2.0,2.02,21557293.0,42.25105385918436
2025-03-04 00:00:00-05:00,2.02,2.17,2.0,2.14,29792888.0,47.930354506781704
