date,open,high,low,close,volume,rsi
2025-01-02 00:00:00-05:00,30.948,31.0345,30.61,30.77,6059183.0,
2025-01-03 00:00:00-05:00,30.87,30.895,30.51,30.61,7848868.0,
2025-01-06 00:00:00-05:00,30.61,30.885,30.035,30.05,10834979.0,
2025-01-07 00:00:00-05:00,29.965,30.33,29.71,29.77,8225307.0,
2025-01-08 00:00:00-05:00,29.81,29.83,29.23,29.66,7934610.0,
2025-01-10 00:00:00-05:00,29.43,29.435,28.5,28.51,14245356.0,
2025-01-13 00:00:00-05:00,28.65,29.02,28.48,28.78,14996038.0,
2025-01-14 00:00:00-05:00,28.79,28.8939,28.53,28.71,10439413.0,
2025-01-15 00:00:00-05:00,28.82,29.0,28.42,28.73,9317011.0,
2025-01-16 00:00:00-05:00,28.53,29.03,28.37,28.97,7491362.0,
2025-01-17 00:00:00-05:00,29.155,29.46,29.05,29.27,8067185.0,
2025-01-21 00:00:00-05:00,29.37,29.82,29.34,29.48,8598178.0,
2025-01-22 00:00:00-05:00,29.33,29.4474,29.0201,29.07,8637719.0,
2025-01-23 00:00:00-05:00,29.08,29.21,28.965,29.07,5972793.0,
2025-01-24 00:00:00-05:00,29.17,29.42,29.02,29.31,9830086.0,31.840796019900466
2025-01-27 00:00:00-05:00,29.7,30.64,29.7,30.2,10534266.0,44.962917181705805
2025-01-28 00:00:00-05:00,30.035,30.26,29.4,29.59,8272951.0,39.36852183324314
2025-01-29 00:00:00-05:00,29.665,29.845,29.57,29.66,5710104.0,40.2866909911984
2025-01-30 00:00:00-05:00,29.9,30.32,29.65,30.27,9714187.0,47.71691980535059
2025-01-31 00:00:00-05:00,30.0,30.21,29.76,29.84,7491084.0,43.598540829519195
2025-02-03 00:00:00-05:00,29.6,29.76,28.9838,29.28,9096027.0,38.890872596101104
2025-02-04 00:00:00-05:00,29.11,29.15,28.52,28.7,11292716.0,34.710462010314004
2025-02-05 00:00:00-05:00,28.64,28.72,28.31,28.61,17805788.0,34.09797201309941
2025-02-06 00:00:00-05:00,28.895,29.08,28.7,29.01,8689274.0,39.230446691803095
2025-02-07 00:00:00-05:00,29.14,29.335,28.86,29.3,7770036.0,42.713824307720806
2025-02-10 00:00:00-05:00,29.14,29.175,28.705,28.96,9991731.0,39.83110429962742
2025-02-11 00:00:00-05:00,28.965,29.655,28.78,29.58,9280491.0,46.872386768378284
2025-02-12 00:00:00-05:00,27.53,28.82,27.25,28.62,19137889.0,39.219194520956854
2025-02-13 00:00:00-05:00,28.315,29.32,28.08,29.25,14620727.0,45.507274853258444
2025-02-14 00:00:00-05:00,29.215,29.59,28.84,28.92,9272307.0,42.99794690841352
2025-02-18 00:00:00-05:00,28.65,29.44,28.62,29.32,11786151.0,46.82541384215385
2025-02-19 00:00:00-05:00,29.35,29.93,29.22,29.79,9573331.0,50.98961422793706
2025-02-20 00:00:00-05:00,29.82,30.245,29.805,30.16,8641098.0,54.0409308503303
2025-02-21 00:00:00-05:00,30.32,31.295,30.23,31.13,14717854.0,60.91163640161602
2025-02-24 00:00:00-05:00,31.15,31.925,30.97,31.36,12637585.0,62.34893870185757
2025-02-25 00:00:00-05:00,31.5,31.895,31.32,31.73,10326593.0,64.6037805265129
2025-02-26 00:00:00-05:00,31.51,31.575,30.545,30.62,10465633.0,54.13041715709106
2025-02-27 00:00:00-05:00,30.54,30.92,30.23,30.65,10348319.0,54.345839901907404
2025-02-28 00:00:00-05:00,30.88,31.06,30.585,30.71,12186645.0,54.80302369346032
