date,open,high,low,close,volume,rsi
2025-01-02 00:00:00-05:00,72.71,73.918,71.74,72.44,8075062.0,
2025-01-03 00:00:00-05:00,73.18,75.275,72.97,75.11,8983435.0,
2025-01-06 00:00:00-05:00,77.18,80.15,77.0,77.98,15164600.0,
2025-01-07 00:00:00-05:00,78.86,80.14,76.89,77.52,10896611.0,
2025-01-08 00:00:00-05:00,77.42,77.75,76.24,77.04,8690771.0,
2025-01-10 00:00:00-05:00,76.02,76.23,74.32,74.65,11957584.0,
2025-01-13 00:00:00-05:00,73.17,74.58,72.56,74.45,8321802.0,
2025-01-14 00:00:00-05:00,75.04,75.13,73.59,75.06,9033070.0,
2025-01-15 00:00:00-05:00,75.86,77.27,75.45,76.15,11085772.0,
2025-01-16 00:00:00-05:00,78.89,82.83,78.31,79.22,19156574.0,
2025-01-17 00:00:00-05:00,81.41,81.81,79.6,80.3,10350975.0,
2025-01-21 00:00:00-05:00,80.82,82.43,79.915,81.5,10978304.0,
2025-01-22 00:00:00-05:00,82.43,85.19,82.42,83.25,14716613.0,
2025-01-23 00:00:00-05:00,80.75,81.39,79.45,81.23,11383314.0,
2025-01-24 00:00:00-05:00,81.7,81.7,78.98,79.68,9091926.0,66.88432835820898
2025-01-27 00:00:00-05:00,76.79,76.83,73.41,75.63,19881317.0,55.57808121161528
2025-01-28 00:00:00-05:00,75.11,75.67,73.6,74.51,13597666.0,52.91420486552344
2025-01-29 00:00:00-05:00,77.45,77.49,74.47,75.15,14558898.0,54.26323783483073
2025-01-30 00:00:00-05:00,79.75,82.09,77.59,80.73,24878513.0,63.958761480501785
2025-01-31 00:00:00-05:00,81.09,84.215,80.845,81.05,18840940.0,64.42451605896551
2025-02-03 00:00:00-05:00,78.975,81.56,78.5,80.19,14537703.0,62.101806969680254
2025-02-04 00:00:00-05:00,79.0,80.585,78.972,79.91,9538804.0,61.32656626654718
2025-02-05 00:00:00-05:00,79.1,82.105,78.62,81.94,10740981.0,64.76116900989861
2025-02-06 00:00:00-05:00,81.15,83.055,80.93,82.83,9903213.0,66.1793271877662
2025-02-07 00:00:00-05:00,83.19,83.51,81.79,82.33,9833594.0,64.60627700625025
2025-02-10 00:00:00-05:00,83.55,84.67,82.56,83.73,13613089.0,66.97343044857959
2025-02-11 00:00:00-05:00,83.06,84.5,82.98,83.26,8903373.0,65.39225172917423
2025-02-12 00:00:00-05:00,81.28,82.14,80.49,81.57,7973042.0,59.9147133167597
2025-02-13 00:00:00-05:00,81.575,83.66,81.45,83.3,7845934.0,63.30338309624292
2025-02-14 00:00:00-05:00,82.65,83.61,81.72,82.75,9149516.0,61.52272280861744
2025-02-18 00:00:00-05:00,84.91,86.81,83.37,86.58,16205484.0,68.22548550449478
2025-02-19 00:00:00-05:00,86.3,89.8,85.75,87.66,15588030.0,69.82191887904824
2025-02-20 00:00:00-05:00,89.98,91.72,88.56,89.02,16888441.0,71.74694707207937
2025-02-21 00:00:00-05:00,89.64,90.22,85.72,86.02,12860943.0,62.30549386120125
2025-02-24 00:00:00-05:00,86.45,86.71,83.22,83.34,11728673.0,55.30400753505427
2025-02-25 00:00:00-05:00,83.06,83.6999,79.925,80.29,19088089.0,48.609281183653856
2025-02-26 00:00:00-05:00,81.69,82.93,80.65,81.3,12427523.0,50.73600958853103
2025-02-27 00:00:00-05:00,81.65,82.165,76.04,76.17,14830208.0,41.37107374132832
2025-02-28 00:00:00-05:00,76.75,78.18,75.37,76.74,22608252.0,42.6380103362645
2025-03-03 00:00:00-05:00,77.935,79.75,74.55,75.78,14787065.0,41.029869299372876
2025-03-04 00:00:00-05:00,76.03,78.47,74.08,76.44,15417740.0,42.63184337970338
2025-03-05 00:00:00-05:00,76.76,79.41,75.52,79.05,15404767.0,48.580666952044815
2025-03-06 00:00:00-05:00,77.13,78.566,75.855,76.47,13195498.0,43.75105131292298
2025-03-07 00:00:00-05:00,76.65,79.485,75.34,79.01,14160264.0,49.11447437757472
2025-03-10 00:00:00-04:00,76.9,77.38,72.7,73.81,16652714.0,40.5829673218302
2025-03-11 00:00:00-04:00,74.08,75.385,72.45,73.36,12617543.0,39.93645088004205
2025-03-12 00:00:00-04:00,75.305,77.66,75.17,76.59,12702064.0,46.52191401338778
2025-03-13 00:00:00-04:00,76.115,77.27,74.545,75.26,9746151.0,44.36492048788276
2025-03-14 00:00:00-04:00,76.755,79.08,76.52,78.69,11862048.0,50.71181468106858
2025-03-17 00:00:00-04:00,77.11,79.14,77.11,78.31,9555235.0,50.030850001057985
2025-03-18 00:00:00-04:00,77.48,77.84,76.17,77.36,8094731.0,48.28521168184099
2025-03-19 00:00:00-04:00,77.37,79.48,76.865,77.93,8907236.0,49.42542102422551
2025-03-20 00:00:00-04:00,76.69,78.1,76.445,77.55,10689081.0,48.65523987262512
2025-03-21 00:00:00-04:00,76.0,76.37,75.27,75.84,20061993.0,45.23896822225365
2025-03-24 00:00:00-04:00,77.74,78.78,77.38,77.99,7954750.0,49.99318526210807
2025-03-25 00:00:00-04:00,77.85,78.371,77.475,77.67,6437289.0,49.30704553683783
2025-03-26 00:00:00-04:00,77.75,77.86,75.13,76.14,7328928.0,46.05256473746728
2025-03-27 00:00:00-04:00,75.885,76.07,74.35,74.81,8441793.0,43.37257672983268
2025-03-28 00:00:00-04:00,74.63,75.3,72.23,72.61,9541529.0,39.29865705556374
2025-03-31 00:00:00-04:00,71.6,72.85,70.44,72.7,11778105.0,39.54881056507411
2025-04-01 00:00:00-04:00,72.04,72.85,70.75,72.83,9066228.0,39.933866220159764
2025-04-02 00:00:00-04:00,71.72,74.8037,71.56,73.78,7557356.0,42.801151328161446
2025-04-03 00:00:00-04:00,70.22,70.55,65.105,65.22,19479421.0,29.251583914491093
2025-04-04 00:00:00-04:00,62.51,63.07,57.97,59.09,26250892.0,23.51146316028091
2025-04-07 00:00:00-04:00,57.92,66.1,56.32,62.2,28191409.0,30.91809171474408
2025-04-08 00:00:00-04:00,64.65,66.11,58.74,60.25,19560762.0,29.02056056240994
2025-04-09 00:00:00-04:00,60.69,71.87,59.92,71.11,29544680.0,48.11792602837384
2025-04-10 00:00:00-04:00,67.995,68.0,63.27,66.43,20011817.0,42.77661333486305
2025-04-11 00:00:00-04:00,65.69,67.96,64.585,67.48,14706234.0,44.27129324573739
2025-04-14 00:00:00-04:00,68.64,69.36,66.91,67.86,9944994.0,44.832901860880106
2025-04-15 00:00:00-04:00,68.09,69.5425,67.95,68.44,10674214.0,45.73183830373861
2025-04-16 00:00:00-04:00,65.24,66.82,62.95,65.14,17845300.0,41.58031698466279
2025-04-17 00:00:00-04:00,65.34,65.38,63.48,63.76,13847742.0,39.947172935399344
2025-04-21 00:00:00-04:00,62.36,62.67,61.14,62.39,14302862.0,38.33732566635017
2025-04-22 00:00:00-04:00,62.965,64.02,62.56,63.48,10857329.0,40.3954364669973
2025-04-23 00:00:00-04:00,66.81,68.01,66.34,66.73,18214735.0,46.1651163814263
2025-04-24 00:00:00-04:00,69.67,71.21,67.5501,70.9,18159373.0,52.51629315509026
2025-04-25 00:00:00-04:00,70.33,72.285,70.29,71.42,9751468.0,53.256853306411024
2025-04-28 00:00:00-04:00,70.95,71.94,70.04,71.57,10255024.0,53.482229074010824
2025-04-29 00:00:00-04:00,70.89,71.66,70.22,70.9,8583787.0,52.26993096652902
2025-04-30 00:00:00-04:00,68.89,71.84,68.525,71.67,11233869.0,53.57242730725352
2025-05-01 00:00:00-04:00,72.18,73.5298,71.4,71.73,14147596.0,53.678502114811806
2025-05-02 00:00:00-04:00,74.25,75.49,73.69,74.52,13339390.0,58.4341586941446
2025-05-05 00:00:00-04:00,73.875,74.9,73.78,73.91,6960773.0,57.054945197526656
2025-05-06 00:00:00-04:00,72.59,73.875,72.59,73.16,6892727.0,55.32588858812572
2025-05-07 00:00:00-04:00,73.445,75.295,72.91,75.06,9987702.0,58.73741960552314
2025-05-08 00:00:00-04:00,76.1,76.42,74.82,74.9,10469426.0,58.3334375854918
2025-05-09 00:00:00-04:00,75.69,76.3,74.65,75.36,7036956.0,59.202210628328714
2025-05-12 00:00:00-04:00,80.665,82.55,80.665,82.25,17456944.0,69.47025816333324
2025-05-13 00:00:00-04:00,82.36,85.78,82.25,85.25,11920152.0,72.69290992332584
2025-05-14 00:00:00-04:00,85.14,86.04,84.33,84.97,8654510.0,71.92974182512407
2025-05-15 00:00:00-04:00,84.23,85.26,83.5,84.79,9058033.0,71.41071394648601
2025-05-16 00:00:00-04:00,84.41,84.46,82.53,84.43,10100366.0,70.3178590492299
2025-05-19 00:00:00-04:00,82.7,84.45,82.54,83.82,9222315.0,68.40750057993056
2025-05-20 00:00:00-04:00,83.53,84.35,83.05,84.29,6913293.0,69.10397401577919
2025-05-21 00:00:00-04:00,83.21,84.78,82.23,82.79,8082654.0,64.23674083435816
2025-05-22 00:00:00-04:00,82.64,83.82,82.05,82.56,6241631.0,63.4982213623142
2025-05-23 00:00:00-04:00,80.12,81.385,79.775,81.06,8276670.0,58.7540095718055
2025-05-27 00:00:00-04:00,83.04,84.115,82.305,83.94,9530217.0,64.27327881801907
2025-05-28 00:00:00-04:00,83.975,85.025,83.58,84.0,9464088.0,64.38021743279089
2025-05-29 00:00:00-04:00,85.85,86.26,83.61,84.16,8239828.0,64.68379441916365
2025-05-30 00:00:00-04:00,83.67,83.81,79.49,80.79,19191607.0,54.20499572320321
2025-06-02 00:00:00-04:00,80.585,82.53,80.425,82.48,8246254.0,57.889256836319404
2025-06-03 00:00:00-04:00,82.07,84.01,81.95,83.66,8920692.0,60.29138942671699
2025-06-04 00:00:00-04:00,84.21,85.04,83.49,84.77,7992220.0,62.460672429756244
2025-06-05 00:00:00-04:00,85.5,86.34,84.34,84.91,10917372.0,62.737173651873555
2025-06-06 00:00:00-04:00,86.26,87.58,85.858,86.35,7877822.0,65.54806061015273
2025-06-09 00:00:00-04:00,87.1,89.33,87.02,88.3,14496238.0,68.96244132040995
2025-06-10 00:00:00-04:00,88.785,91.37,88.34,91.0,11118929.0,72.95858840226535
2025-06-11 00:00:00-04:00,91.385,91.99,89.87,90.95,10646545.0,72.77173218748362
2025-06-12 00:00:00-04:00,90.62,91.9,90.49,91.66,5989729.0,73.7979497144074
2025-06-13 00:00:00-04:00,88.77,91.23,88.18,89.52,10979027.0,65.75379614478342
2025-06-16 00:00:00-04:00,90.95,93.58,90.855,93.41,11642113.0,71.77622489918564
2025-06-17 00:00:00-04:00,93.34,95.015,92.55,92.66,10229506.0,69.24773540106577
2025-06-18 00:00:00-04:00,93.045,93.6,91.8,92.24,9373893.0,67.80718334593954
2025-06-20 00:00:00-04:00,93.05,93.43,87.75,90.49,22925170.0,62.01803321893783
2025-06-23 00:00:00-04:00,91.37,92.76,90.29,91.61,12551325.0,64.12884323738714
