date,open,high,low,close,volume,rsi
2025-01-02 00:00:00-05:00,6.39,6.45,6.2454,6.27,11451854.0,
2025-01-03 00:00:00-05:00,6.2,6.21,5.98,5.99,10870059.0,
2025-01-06 00:00:00-05:00,5.83,5.85,5.68,5.79,9848163.0,
2025-01-07 00:00:00-05:00,5.65,6.16,5.65,6.16,11094613.0,
2025-01-08 00:00:00-05:00,6.06,6.255,5.99,6.15,11789804.0,
2025-01-10 00:00:00-05:00,6.28,6.42,6.28,6.35,10625652.0,
2025-01-13 00:00:00-05:00,6.63,6.64,6.4601,6.48,9391369.0,
2025-01-14 00:00:00-05:00,6.33,6.63,6.321,6.54,8777266.0,
2025-01-15 00:00:00-05:00,6.44,6.55,6.3149,6.32,6723273.0,
2025-01-16 00:00:00-05:00,6.21,6.46,6.21,6.45,9519608.0,
2025-01-17 00:00:00-05:00,6.31,6.3648,6.215,6.25,6670213.0,
2025-01-21 00:00:00-05:00,6.18,6.28,6.07,6.11,9415633.0,
2025-01-22 00:00:00-05:00,5.95,5.99,5.815,5.85,9707998.0,
2025-01-23 00:00:00-05:00,5.93,5.975,5.84,5.85,9376120.0,
2025-01-24 00:00:00-05:00,5.81,6.0599,5.79,6.04,10067685.0,45.18828451882847
2025-01-27 00:00:00-05:00,6.77,7.125,6.63,7.04,17316802.0,62.214333259374314
2025-01-28 00:00:00-05:00,6.82,7.1755,6.43,6.43,13852662.0,51.67051752732221
2025-01-29 00:00:00-05:00,6.55,6.8659,6.54,6.68,10899412.0,55.033980548051105
2025-01-30 00:00:00-05:00,6.73,6.9952,6.63,6.63,8014618.0,54.221227629053956
2025-01-31 00:00:00-05:00,6.7,6.93,6.4701,6.89,10968123.0,57.71802825044875
2025-02-03 00:00:00-05:00,7.2,7.295,6.9701,7.09,10434583.0,60.23429536571743
2025-02-04 00:00:00-05:00,7.07,7.085,6.819,6.97,8215366.0,58.0038367705695
2025-02-05 00:00:00-05:00,6.79,6.825,6.6,6.6,6313622.0,51.652738345208675
2025-02-06 00:00:00-05:00,6.47,6.585,6.4,6.4,8006979.0,48.55771909296711
2025-02-07 00:00:00-05:00,6.39,6.465,6.32,6.35,8278557.0,47.78681075380434
2025-02-10 00:00:00-05:00,6.34,6.34,6.1,6.17,10430339.0,45.016049961568356
2025-02-11 00:00:00-05:00,6.22,6.2851,6.13,6.21,7556677.0,45.76856340879123
2025-02-12 00:00:00-05:00,6.33,6.37,6.2321,6.29,7856794.0,47.32140512668214
2025-02-13 00:00:00-05:00,6.27,6.28,6.03,6.09,8311638.0,43.93447516602838
2025-02-14 00:00:00-05:00,6.04,6.075,5.92,5.93,9683575.0,41.382701823428924
2025-02-18 00:00:00-05:00,5.83,5.9701,5.74,5.91,11215785.0,41.06165542368321
2025-02-19 00:00:00-05:00,5.91,6.0051,5.8301,5.93,9567491.0,41.549990847522196
2025-02-20 00:00:00-05:00,5.89,6.0251,5.87,5.89,9597775.0,40.821500273861155
2025-02-21 00:00:00-05:00,5.89,6.15,5.835,6.13,17224943.0,46.84355709794931
2025-02-24 00:00:00-05:00,6.02,6.37,5.94,6.32,15499720.0,51.08712478125667
2025-02-25 00:00:00-05:00,6.35,6.6,6.33,6.49,18683949.0,54.58089096145528
2025-02-26 00:00:00-05:00,6.33,6.4,6.1316,6.25,23436451.0,49.234206100527146
2025-02-27 00:00:00-05:00,6.08,6.795,6.08,6.79,25917824.0,58.972560612900516
2025-02-28 00:00:00-05:00,6.92,7.005,6.52,6.53,20067100.0,53.63741241001565
2025-03-03 00:00:00-05:00,6.6,7.1874,6.5933,7.09,16434498.0,61.67886075689958
2025-03-04 00:00:00-05:00,7.31,7.34,6.7639,6.98,17631781.0,59.4959142478265
2025-03-05 00:00:00-05:00,6.89,7.0654,6.84,6.9,13993274.0,57.891187132365495
2025-03-06 00:00:00-05:00,7.13,7.3199,7.015,7.29,15957972.0,63.114320763542366
2025-03-07 00:00:00-05:00,7.25,7.4915,7.108677,7.16,17186178.0,60.42384001004983
2025-03-10 00:00:00-04:00,7.35,7.63,7.2202,7.53,20137709.0,64.997315775401
2025-03-11 00:00:00-04:00,7.52,7.6801,7.1549,7.4,15639384.0,62.274313589450976
2025-03-12 00:00:00-04:00,7.04,7.12,6.865,6.92,17200451.0,53.38173307511877
2025-03-13 00:00:00-04:00,6.86,7.045,6.8101,6.93,17542048.0,53.53061064399413
2025-03-14 00:00:00-04:00,6.76,6.79,6.57,6.58,13365439.0,47.779313842651945
2025-03-17 00:00:00-04:00,6.52,6.78,6.5142,6.7,15002288.0,49.7718607648934
2025-03-18 00:00:00-04:00,6.785,6.9751,6.7221,6.923,19403462.0,53.335249722268344
2025-03-19 00:00:00-04:00,6.82,6.91,6.625,6.8,15462205.0,51.17855301670494
2025-03-20 00:00:00-04:00,6.865,6.865,6.65,6.75,15318817.0,50.28834467671802
2025-03-21 00:00:00-04:00,6.84,6.9299,6.782,6.8,10997939.0,51.20242958491121
2025-03-24 00:00:00-04:00,6.67,6.7051,6.54,6.59,12721463.0,47.270945041990764
2025-03-25 00:00:00-04:00,6.58,6.67,6.5449,6.57,8928653.0,46.901585846784045
2025-03-26 00:00:00-04:00,6.7,7.02,6.69,6.95,13974741.0,54.220751461290554
2025-03-27 00:00:00-04:00,7.11,7.145,6.915,7.11,18873649.0,56.91377143255768
2025-03-28 00:00:00-04:00,7.09,7.26,7.0144,7.23,17407737.0,58.868091632819436
2025-03-31 00:00:00-04:00,7.51,7.615,7.27,7.29,18471584.0,59.84873514358559
2025-04-01 00:00:00-04:00,7.3,7.44,7.18,7.18,16732674.0,57.15821010612096
2025-04-02 00:00:00-04:00,7.38,7.4094,7.0724,7.17,14991758.0,56.90774602986706
2025-04-03 00:00:00-04:00,7.62,7.75,7.485,7.73,18696890.0,65.91517100851166
2025-04-04 00:00:00-04:00,7.96,8.475,7.87,8.31,23856536.0,72.35943122012633
2025-04-07 00:00:00-04:00,8.9,8.985,7.67,8.01,21508874.0,65.4649910615266
2025-04-08 00:00:00-04:00,7.51,8.2821,7.35,8.1,16751733.0,66.4963317681348
2025-04-09 00:00:00-04:00,7.92,8.01,6.555,6.62,29242734.0,43.49386270349784
2025-04-10 00:00:00-04:00,6.9,7.266,6.8167,7.0,16501265.0,48.42681882294197
2025-04-11 00:00:00-04:00,6.94,7.0151,6.7599,6.8,21648383.0,46.1435666761015
2025-04-14 00:00:00-04:00,6.58,6.905,6.58,6.805,10633446.0,46.21184443818293
2025-04-15 00:00:00-04:00,6.79,6.815,6.625,6.71,11908091.0,45.04339194175487
2025-04-16 00:00:00-04:00,7.18,7.413,7.043,7.18,14626793.0,51.56792942607663
2025-04-17 00:00:00-04:00,7.18,7.49,7.18,7.39,12855685.0,54.185160683362454
2025-04-21 00:00:00-04:00,7.59,7.86,7.55,7.73,13127141.0,58.13022422594974
2025-04-22 00:00:00-04:00,7.57,7.6951,7.4901,7.56,14190914.0,55.55437301506831
2025-04-23 00:00:00-04:00,7.13,7.33,7.12,7.29,16767631.0,51.64048317149671
2025-04-24 00:00:00-04:00,7.23,7.245,7.0,7.02,10125462.0,47.99877465580272
2025-04-25 00:00:00-04:00,7.0,7.065,6.6601,6.725,15791327.0,44.32113875651468
2025-04-28 00:00:00-04:00,6.79,7.03,6.77,6.87,10223355.0,46.49130790368982
2025-04-29 00:00:00-04:00,6.92,6.93,6.77,6.845,11659721.0,46.15726672015504
2025-04-30 00:00:00-04:00,7.12,7.1499,6.85,6.86,13807203.0,46.406083507738344
2025-05-01 00:00:00-04:00,6.58,6.695,6.4781,6.68,18695771.0,43.79089879536926
2025-05-02 00:00:00-04:00,6.53,6.5759,6.46,6.51,10772146.0,41.41697420681478
2025-05-05 00:00:00-04:00,6.61,6.6189,6.5,6.55,6867179.0,42.210800521893496
2025-05-06 00:00:00-04:00,6.69,6.7299,6.5,6.57,15606487.0,42.62939912876602
2025-05-07 00:00:00-04:00,6.6,6.645,6.3316,6.38,19283154.0,39.6882229331847
2025-05-08 00:00:00-04:00,6.29,6.4398,6.28,6.36,12728646.0,39.38022267767916
2025-05-09 00:00:00-04:00,6.34,6.48,6.3099,6.39,14456760.0,40.130754567865715
2025-05-12 00:00:00-04:00,6.1,6.2,6.0435,6.06,12305064.0,34.99774324052484
2025-05-13 00:00:00-04:00,5.955,5.97,5.6447,5.72,13400621.0,30.6481484484908
2025-05-14 00:00:00-04:00,5.57,5.63,5.47,5.48,16905810.0,28.002553219639537
2025-05-15 00:00:00-04:00,5.53,5.58,5.43,5.5,14520969.0,28.556015794549296
2025-05-16 00:00:00-04:00,5.44,5.56,5.44,5.47,14677325.0,28.20576033175108
2025-05-19 00:00:00-04:00,5.6,5.6,5.455,5.4746,11789544.0,28.35087771511367
2025-05-20 00:00:00-04:00,5.52,5.5899,5.51,5.52,10139461.0,29.857803637718632
2025-05-21 00:00:00-04:00,5.58,5.6754,5.39,5.625,17723907.0,33.34924102429683
2025-05-22 00:00:00-04:00,5.61,5.635,5.52,5.59,19178692.0,32.76380074150174
2025-05-23 00:00:00-04:00,5.71,5.735,5.59,5.65,21476674.0,34.874449394330796
2025-05-27 00:00:00-04:00,5.53,5.56,5.46,5.48,12153371.0,31.826011452159022
2025-05-28 00:00:00-04:00,5.46,5.51,5.4,5.51,15547892.0,32.940024824026295
2025-05-29 00:00:00-04:00,5.2,5.375,5.15,5.33,30223599.0,29.794168368989816
2025-05-30 00:00:00-04:00,5.34,5.57,5.315,5.5,22833677.0,36.00985581806098
2025-06-02 00:00:00-04:00,5.47,5.47,5.36,5.4,13101546.0,34.09747673989372
