date,open,high,low,close,volume,rsi
2025-01-02 00:00:00-05:00,22.03,22.3,21.255,21.3,8126889.0,
2025-01-03 00:00:00-05:00,21.4,21.58,21.095,21.24,5193282.0,
2025-01-06 00:00:00-05:00,21.4,21.43,20.92,21.07,9735142.0,
2025-01-07 00:00:00-05:00,21.48,21.785,21.28,21.6,12547113.0,
2025-01-08 00:00:00-05:00,21.59,21.8,21.37,21.49,5109123.0,
2025-01-10 00:00:00-05:00,21.3,21.4,20.805,20.94,12059380.0,
2025-01-13 00:00:00-05:00,20.945,20.97,20.145,20.44,15176830.0,
2025-01-14 00:00:00-05:00,20.61,21.02,20.41,20.98,7964963.0,
2025-01-15 00:00:00-05:00,21.65,22.1,21.23,21.94,11927121.0,
2025-01-16 00:00:00-05:00,21.85,21.855,21.48,21.68,7200097.0,
2025-01-17 00:00:00-05:00,21.49,21.99,21.21,21.92,8965219.0,
2025-01-21 00:00:00-05:00,22.06,22.08,21.65,21.82,8157059.0,
2025-01-22 00:00:00-05:00,21.94,22.19,21.355,22.01,11305823.0,
2025-01-23 00:00:00-05:00,22.01,22.11,21.415,21.79,8295369.0,
2025-01-24 00:00:00-05:00,21.8,21.985,21.65,21.68,7620232.0,54.185022026431696
2025-01-27 00:00:00-05:00,21.55,21.88,21.465,21.78,10789872.0,55.246607083747094
2025-01-28 00:00:00-05:00,22.0,22.3999,21.405,21.53,16756298.0,52.00249262996428
2025-01-29 00:00:00-05:00,19.18,19.75,18.47,18.54,41966565.0,29.608755577996448
2025-01-30 00:00:00-05:00,18.56,18.58,17.5143,17.84,34377579.0,26.708938661466505
2025-01-31 00:00:00-05:00,17.85,18.32,17.73,17.73,18052089.0,26.273479586140837
2025-02-03 00:00:00-05:00,17.63,17.75,17.175,17.35,16485043.0,24.770995859486575
2025-02-04 00:00:00-05:00,17.35,17.58,17.0,17.06,16764370.0,23.65903794829576
2025-02-05 00:00:00-05:00,17.35,17.515,17.2,17.21,12436849.0,25.521359074566448
2025-02-06 00:00:00-05:00,17.27,17.58,17.23,17.29,9326061.0,26.550486790252293
2025-02-07 00:00:00-05:00,17.27,17.3063,16.61,16.83,14408389.0,24.45778572571578
2025-02-10 00:00:00-05:00,17.02,17.12,16.62,16.81,9208617.0,24.36785484357418
2025-02-11 00:00:00-05:00,16.68,16.835,16.45,16.59,10167044.0,23.3507405790141
2025-02-12 00:00:00-05:00,16.43,16.49,16.13,16.34,12964029.0,22.21594098818244
2025-02-13 00:00:00-05:00,16.5,16.7399,16.345,16.63,11072225.0,26.66794009674446
2025-02-14 00:00:00-05:00,16.58,16.63,16.08,16.25,12474918.0,24.67500991468833
2025-02-18 00:00:00-05:00,17.15,17.15,16.345,16.57,19464098.0,29.455957904689285
2025-02-19 00:00:00-05:00,16.68,17.52,16.61,17.16,16986527.0,37.351344626054136
