date,open,high,low,close,volume,rsi
2025-01-02 00:00:00-05:00,390.1,392.7299,373.04,379.28,109710749.0,
2025-01-03 00:00:00-05:00,381.48,411.8799,379.45,410.44,95420249.0,
2025-01-06 00:00:00-05:00,423.2,426.43,401.7,411.05,85489034.0,
2025-01-07 00:00:00-05:00,405.83,414.33,390.0,394.36,75699525.0,
2025-01-08 00:00:00-05:00,392.95,402.4999,387.4,394.94,73037605.0,
2025-01-10 00:00:00-05:00,391.4,399.28,377.29,394.74,62276533.0,
2025-01-13 00:00:00-05:00,383.21,403.79,380.07,403.31,67573994.0,
2025-01-14 00:00:00-05:00,414.34,422.64,394.54,396.36,84565022.0,
2025-01-15 00:00:00-05:00,409.9,429.8,405.661,428.22,81367740.0,
2025-01-16 00:00:00-05:00,423.49,424.0,409.13,413.82,68333121.0,
2025-01-17 00:00:00-05:00,421.5,439.74,419.75,426.5,94475829.0,
2025-01-21 00:00:00-05:00,432.64,433.2,406.31,424.07,87318494.0,
2025-01-22 00:00:00-05:00,416.81,428.0,414.59,415.11,60954842.0,
2025-01-23 00:00:00-05:00,416.06,420.73,408.95,412.38,50643592.0,
2025-01-24 00:00:00-05:00,414.45,418.88,405.78,406.58,56404149.0,59.504247319314864
2025-01-27 00:00:00-05:00,394.8,406.69,389.0,397.15,58125210.0,55.5745642995778
2025-01-28 00:00:00-05:00,396.91,400.59,386.5,398.09,48890976.0,55.88729755298354
2025-01-29 00:00:00-05:00,395.21,398.5899,384.48,389.1,67991348.0,52.109198971138504
2025-01-30 00:00:00-05:00,410.78,412.5,384.41,400.28,98092879.0,56.08512773945487
2025-01-31 00:00:00-05:00,401.53,419.99,401.34,404.6,83568219.0,57.551601936392025
2025-02-03 00:00:00-05:00,386.68,389.17,374.36,383.68,93731522.0,49.01551233317966
2025-02-04 00:00:00-05:00,382.63,394.0,381.4,392.21,57072235.0,52.13303402329764
2025-02-05 00:00:00-05:00,387.51,388.39,375.53,378.17,57614721.0,47.03507833860645
2025-02-06 00:00:00-05:00,373.03,375.4,363.18,374.32,77918230.0,45.71493979091376
2025-02-07 00:00:00-05:00,370.19,380.5459,360.34,361.62,70290753.0,41.57011183480535
2025-02-10 00:00:00-05:00,356.21,362.7,350.51,350.73,77514903.0,38.358528899514155
2025-02-11 00:00:00-05:00,345.8,349.37,325.1,328.5,118112400.0,32.789614680628475
2025-02-12 00:00:00-05:00,329.94,346.4,329.12,336.51,105367809.0,36.37404885775897
2025-02-13 00:00:00-05:00,345.0,358.69,342.85,355.94,89422619.0,44.154383577772414
2025-02-14 00:00:00-05:00,360.62,362.0,347.5,355.84,68277279.0,44.1244777756862
2025-02-18 00:00:00-05:00,355.01,359.1,350.02,354.11,51607522.0,43.57462543536553
2025-02-19 00:00:00-05:00,354.0,367.34,353.67,360.56,67090019.0,46.26328554486611
2025-02-20 00:00:00-05:00,361.51,362.3,348.0,354.4,45965354.0,44.101937045169834
2025-02-21 00:00:00-05:00,353.44,354.98,334.42,337.8,73750337.0,38.83643546045431
2025-02-24 00:00:00-05:00,338.14,342.3973,324.7,330.53,76012371.0,36.76610030507736
2025-02-25 00:00:00-05:00,327.025,328.89,297.2512,302.8,134228777.0,30.161402280360747
2025-02-26 00:00:00-05:00,303.715,309.0,288.04,290.8,100078276.0,27.831399182535662
2025-02-27 00:00:00-05:00,291.16,297.23,280.88,281.95,99644597.0,26.222510679412096
2025-02-28 00:00:00-05:00,279.5,293.88,273.6,292.98,115590068.0,31.534754531519454
2025-03-03 00:00:00-05:00,300.34,303.94,277.3,284.65,115147914.0,29.79021072896286
2025-03-04 00:00:00-05:00,270.93,284.35,261.8401,272.04,126418623.0,27.32576363382782
2025-03-05 00:00:00-05:00,272.92,279.55,267.71,279.1,93493013.0,30.77848340873456
2025-03-06 00:00:00-05:00,272.06,272.65,260.02,263.45,98401566.0,27.643286293152443
2025-03-07 00:00:00-05:00,259.32,266.2499,250.73,262.67,102338532.0,27.492970626690052
2025-03-10 00:00:00-04:00,252.535,253.37,220.0,222.15,188905323.0,21.08016475314912
2025-03-11 00:00:00-04:00,225.305,237.0649,217.02,230.58,174894415.0,24.999680040439955
2025-03-12 00:00:00-04:00,247.22,251.84,241.1,248.09,142201681.0,32.49865454308559
2025-03-13 00:00:00-04:00,248.125,248.29,232.6,240.68,114592525.0,31.082310374250824
2025-03-14 00:00:00-04:00,247.31,251.58,240.73,249.98,100171474.0,34.91608443324867
2025-03-17 00:00:00-04:00,245.055,245.4,232.8,238.01,111833565.0,32.41655342974357
2025-03-18 00:00:00-04:00,228.155,230.1,222.28,225.31,111445611.0,29.965520882872212
2025-03-19 00:00:00-04:00,231.61,241.41,229.201,235.86,111980553.0,34.402648953328864
2025-03-20 00:00:00-04:00,233.345,238.0,230.0501,236.26,99026870.0,34.571905917007285
2025-03-21 00:00:00-04:00,234.985,249.52,234.55,248.71,131716184.0,39.780179001341985
2025-03-24 00:00:00-04:00,258.075,278.64,256.33,278.39,169044665.0,49.99873830301907
2025-03-25 00:00:00-04:00,283.6,288.2,271.28,288.14,150361538.0,52.8303780966642
2025-03-26 00:00:00-04:00,282.66,284.9,266.51,272.06,156250041.0,48.002189732714726
2025-03-27 00:00:00-04:00,272.48,291.85,271.8216,273.13,162554156.0,48.34051387124121
2025-03-28 00:00:00-04:00,275.575,276.1,260.57,263.55,123526189.0,45.48686613644074
2025-03-31 00:00:00-04:00,249.31,260.56,243.3601,259.16,133803221.0,44.19924630580218
2025-04-01 00:00:00-04:00,263.8,277.45,259.25,268.46,146486911.0,47.58430424486438
2025-04-02 00:00:00-04:00,254.6,284.99,251.27,282.76,212781017.0,52.36899184961628
2025-04-03 00:00:00-04:00,265.29,276.3,261.51,267.28,135871491.0,47.33204777150374
2025-04-04 00:00:00-04:00,255.38,261.0,236.0,239.43,181206728.0,39.89716855127244
2025-04-07 00:00:00-04:00,223.78,252.0,214.25,233.29,183126699.0,38.462715237210304
2025-04-08 00:00:00-04:00,245.0,250.44,217.8,221.86,171596800.0,35.876765011266926
2025-04-09 00:00:00-04:00,224.69,274.69,223.88,272.2,219433173.0,51.38066343528606
2025-04-10 00:00:00-04:00,260.0,262.49,239.33,252.4,181717404.0,46.60738379515542
2025-04-11 00:00:00-04:00,251.84,257.74,241.3629,252.31,128628085.0,46.58619840605275
2025-04-14 00:00:00-04:00,258.36,261.8,245.93,252.35,100096704.0,46.59781671438324
2025-04-15 00:00:00-04:00,249.91,258.75,247.54,254.11,79498817.0,47.14261091503836
2025-04-16 00:00:00-04:00,247.61,251.97,233.89,241.55,112376237.0,43.715189666817835
2025-04-17 00:00:00-04:00,243.47,244.34,237.6833,241.37,82408675.0,43.66619297793496
2025-04-21 00:00:00-04:00,230.26,232.21,222.79,227.5,97768007.0,39.95045771610574
2025-04-22 00:00:00-04:00,230.96,242.79,229.8501,237.97,120830527.0,43.83567140023307
2025-04-23 00:00:00-04:00,254.86,259.4499,244.43,250.74,150161878.0,48.23484990684114
2025-04-24 00:00:00-04:00,250.5,259.54,249.2,259.51,94413005.0,51.06940492018364
2025-04-25 00:00:00-04:00,261.69,286.85,259.63,284.95,167521263.0,58.216849447348395
2025-04-28 00:00:00-04:00,288.98,294.86,272.42,285.88,151703351.0,58.4557579797198
2025-04-29 00:00:00-04:00,285.5,293.32,279.4695,292.03,108906553.0,60.0812479101693
2025-04-30 00:00:00-04:00,279.9,284.45,270.78,282.16,128895557.0,56.27566818707147
2025-05-01 00:00:00-04:00,280.01,290.8688,279.81,280.52,99658974.0,55.64497346268041
2025-05-02 00:00:00-04:00,284.9,294.78,279.81,287.21,114045083.0,57.72627958546514
2025-05-05 00:00:00-04:00,284.57,284.849,274.4,280.26,94618882.0,54.84696517670157
2025-05-06 00:00:00-04:00,273.105,277.73,271.35,275.35,76715792.0,52.84169171620881
2025-05-07 00:00:00-04:00,276.88,277.92,271.0,276.22,71882408.0,53.168416657922435
2025-05-08 00:00:00-04:00,279.63,289.8,279.41,284.82,97539448.0,56.38520019411144
2025-05-09 00:00:00-04:00,290.21,307.04,290.0,298.26,132387835.0,60.904724952529236
2025-05-12 00:00:00-04:00,321.99,322.21,311.5,318.38,112826661.0,66.50105597043805
2025-05-13 00:00:00-04:00,320.0,337.5894,316.8,334.07,136992574.0,70.09596987589319
2025-05-14 00:00:00-04:00,342.5,350.0,337.0,347.68,136997264.0,72.82065447226168
2025-05-15 00:00:00-04:00,340.34,346.1393,334.7153,342.82,97882596.0,70.35548213344615
2025-05-16 00:00:00-04:00,346.24,351.62,342.33,349.98,95895665.0,71.86652743822562
2025-05-19 00:00:00-04:00,336.3,343.0,333.37,342.09,88869853.0,67.76730065637898
2025-05-20 00:00:00-04:00,347.87,354.9899,341.63,343.82,131715548.0,68.19566701848123
2025-05-21 00:00:00-04:00,344.43,347.35,332.2,334.62,102354844.0,63.3723593386435
2025-05-22 00:00:00-04:00,331.9,347.27,331.39,341.04,97113416.0,65.22093799325137
2025-05-23 00:00:00-04:00,337.92,343.18,333.21,339.34,84654818.0,64.29558230336318
2025-05-27 00:00:00-04:00,347.35,363.79,347.32,362.89,120146414.0,70.53275615717598
2025-05-28 00:00:00-04:00,364.84,365.0,355.91,356.9,91404309.0,67.31185039158014
2025-05-29 00:00:00-04:00,365.29,367.71,356.0,358.43,88545666.0,67.71736401111832
2025-05-30 00:00:00-04:00,355.52,363.68,345.29,346.46,123474938.0,61.30927291900678
2025-06-02 00:00:00-04:00,343.5,348.02,333.33,342.69,81873829.0,59.402643509062614
2025-06-03 00:00:00-04:00,346.595,355.4,343.04,344.27,99324544.0,59.964577059991846
2025-06-04 00:00:00-04:00,345.095,345.6,327.3308,332.05,98912075.0,53.765977821770626
2025-06-05 00:00:00-04:00,322.49,324.5499,273.21,284.7,292818655.0,37.56306054450181
