date,open,high,low,close,volume,rsi
2025-01-02 00:00:00-05:00,8.4,8.46,8.07,8.1,6478018.0,
2025-01-03 00:00:00-05:00,8.16,8.46,8.06,8.36,7200938.0,
2025-01-06 00:00:00-05:00,8.6,8.72,8.455,8.47,11197087.0,
2025-01-07 00:00:00-05:00,8.53,8.67,8.385,8.39,11582332.0,
2025-01-08 00:00:00-05:00,8.34,8.37,8.071,8.09,9600637.0,
2025-01-10 00:00:00-05:00,7.98,8.23,7.931,8.21,9747840.0,
2025-01-13 00:00:00-05:00,8.12,8.37,7.93,8.3,12555025.0,
2025-01-14 00:00:00-05:00,8.37,8.445,8.12,8.19,6652152.0,
2025-01-15 00:00:00-05:00,8.46,8.54,8.07,8.1,5697814.0,
2025-01-16 00:00:00-05:00,7.95,8.08,7.71,8.08,8615201.0,
2025-01-17 00:00:00-05:00,8.135,8.39,8.04,8.2,7375419.0,
2025-01-21 00:00:00-05:00,8.275,8.58,8.25,8.54,9396808.0,
2025-01-22 00:00:00-05:00,8.55,8.64,8.44,8.61,7774538.0,
2025-01-23 00:00:00-05:00,8.55,8.595,8.3,8.52,7297792.0,
2025-01-24 00:00:00-05:00,8.49,8.605,8.34,8.42,8181696.0,58.421052631578945
2025-01-27 00:00:00-05:00,8.36,8.475,8.07,8.26,14277222.0,53.56347438752784
2025-01-28 00:00:00-05:00,8.275,8.4689,8.1,8.1,12492204.0,49.16138162377483
2025-01-29 00:00:00-05:00,8.15,8.34,8.045,8.21,7816069.0,52.077387037804215
2025-01-30 00:00:00-05:00,8.32,8.72,8.26,8.66,7744429.0,61.744432259556625
2025-01-31 00:00:00-05:00,8.63,8.63,8.345,8.35,9094549.0,53.70698885789665
2025-02-03 00:00:00-05:00,8.07,8.38,7.97,8.25,16350035.0,51.383365866936536
2025-02-04 00:00:00-05:00,8.24,8.48,8.11,8.25,9003541.0,51.38336586693653
2025-02-05 00:00:00-05:00,8.26,8.31,8.125,8.24,13498296.0,51.12682706098976
2025-02-06 00:00:00-05:00,8.46,8.65,7.56,7.6,22370357.0,38.03772820092298
2025-02-07 00:00:00-05:00,7.55,7.6,7.275,7.3,13404468.0,33.684450805166094
2025-02-10 00:00:00-05:00,7.35,7.48,7.23,7.28,12861734.0,33.40993282319934
2025-02-11 00:00:00-05:00,7.17,7.23,7.05,7.23,12492184.0,32.69260844305623
2025-02-12 00:00:00-05:00,7.11,7.185,7.03,7.14,9435879.0,31.38632435606992
2025-02-13 00:00:00-05:00,7.23,7.3293,7.17,7.28,10051850.0,35.69090335035612
2025-02-14 00:00:00-05:00,7.26,7.29,7.09,7.1,9948188.0,32.83836993407465
2025-02-18 00:00:00-05:00,7.11,7.23,7.045,7.22,11350866.0,36.483024991066436
2025-02-19 00:00:00-05:00,7.17,7.3,7.1,7.24,10928982.0,37.095726272520224
2025-02-20 00:00:00-05:00,7.29,7.36,7.12,7.16,9086941.0,35.6157794520045
2025-02-21 00:00:00-05:00,7.26,7.31,7.05,7.09,9805277.0,34.32536238301523
2025-02-24 00:00:00-05:00,7.2,7.315,7.07,7.21,12139902.0,38.44286544341357
2025-02-25 00:00:00-05:00,7.17,7.23,7.03,7.11,9948987.0,36.39508933114802
2025-02-26 00:00:00-05:00,7.22,7.27,6.89,6.98,10082599.0,33.86927914596329
2025-02-27 00:00:00-05:00,6.95,6.9999,6.77,6.78,10068576.0,30.376529901007274
2025-02-28 00:00:00-05:00,6.78,6.9,6.75,6.81,9433501.0,31.517352040774114
2025-03-03 00:00:00-05:00,6.91,6.98,6.6346,6.72,18028740.0,29.932768638113075
2025-03-04 00:00:00-05:00,6.62,6.79,6.485,6.67,13302217.0,29.058683974914132
2025-03-05 00:00:00-05:00,6.71,6.965,6.66,6.95,14917078.0,39.68129607449063
2025-03-06 00:00:00-05:00,6.93,7.195,6.87,6.9,17788640.0,38.57062511647068
2025-03-07 00:00:00-05:00,6.78,7.11,6.73,7.08,15136921.0,44.58404555184236
2025-03-10 00:00:00-04:00,7.01,7.47,7.0,7.26,12089965.0,49.86894799701947
2025-03-11 00:00:00-04:00,7.27,7.48,7.2,7.38,13719554.0,53.081427545260546
2025-03-12 00:00:00-04:00,7.42,7.47,6.94,7.19,13486946.0,47.85268886522572
2025-03-13 00:00:00-04:00,7.13,7.3,6.915,7.05,20515587.0,44.38344765876503
2025-03-14 00:00:00-04:00,7.14,7.16,6.7,6.7,20514362.0,37.135122003131414
