date,open,high,low,close,volume,rsi
2025-01-02 00:00:00-05:00,8.8,8.96,8.78,8.88,20713507.0,
2025-01-03 00:00:00-05:00,8.79,8.81,8.62,8.63,27730309.0,
2025-01-06 00:00:00-05:00,8.7,8.76,8.6,8.62,21621252.0,
2025-01-07 00:00:00-05:00,8.66,8.75,8.52,8.56,29526209.0,
2025-01-08 00:00:00-05:00,8.5,8.51,8.42,8.5,25887194.0,
2025-01-10 00:00:00-05:00,8.47,8.61,8.45,8.5,26286703.0,
2025-01-13 00:00:00-05:00,8.41,8.63,8.38,8.51,30172752.0,
2025-01-14 00:00:00-05:00,8.63,8.71,8.58,8.62,29688940.0,
2025-01-15 00:00:00-05:00,8.71,8.79,8.6,8.76,28032106.0,
2025-01-16 00:00:00-05:00,8.74,8.85,8.645,8.77,142370475.0,
2025-01-17 00:00:00-05:00,8.86,9.07,8.855,8.94,59396163.0,
2025-01-21 00:00:00-05:00,8.98,9.01,8.84,8.98,32055624.0,
2025-01-22 00:00:00-05:00,9.03,9.1,8.845,8.87,54050119.0,
2025-01-23 00:00:00-05:00,8.87,8.91,8.78,8.89,47294331.0,
2025-01-24 00:00:00-05:00,9.02,9.08,8.97,8.98,31998962.0,54.6296296296296
2025-01-27 00:00:00-05:00,8.955,9.19,8.93,9.16,42584586.0,61.53381642512072
2025-01-28 00:00:00-05:00,9.1,9.105,8.99,9.03,33070814.0,55.021598272138164
2025-01-29 00:00:00-05:00,9.02,9.17,8.9935,9.07,32285426.0,56.5454803620155
2025-01-30 00:00:00-05:00,9.16,9.52,9.15,9.39,49521053.0,66.36365607982876
2025-01-31 00:00:00-05:00,9.43,9.51,9.29,9.29,41928074.0,61.67408355246134
2025-02-03 00:00:00-05:00,9.16,9.38,9.1148,9.36,35563722.0,63.61246105065002
2025-02-04 00:00:00-05:00,9.42,9.47,9.36,9.43,39983432.0,65.4919957066412
2025-02-05 00:00:00-05:00,9.37,9.45,9.34,9.37,33600126.0,62.51145435604782
2025-02-06 00:00:00-05:00,9.61,9.68,9.56,9.61,37286034.0,68.65619217507239
2025-02-07 00:00:00-05:00,9.68,9.68,9.43,9.47,35975146.0,62.24671401107056
2025-02-10 00:00:00-05:00,9.5,9.6,9.49,9.56,22423288.0,64.53862470701239
2025-02-11 00:00:00-05:00,9.52,9.6,9.48,9.57,20254412.0,64.79436390737027
2025-02-12 00:00:00-05:00,9.58,9.63,9.53,9.56,25367369.0,64.29501544547898
2025-02-13 00:00:00-05:00,9.41,9.58,9.36,9.57,26851825.0,64.58890927853508
2025-02-14 00:00:00-05:00,9.7,9.82,9.65,9.76,31749143.0,69.69324615734222
2025-02-18 00:00:00-05:00,9.8,9.875,9.7601,9.81,26121723.0,70.8827121558607
2025-02-19 00:00:00-05:00,9.74,9.78,9.63,9.74,31073414.0,66.92268050322892
2025-02-20 00:00:00-05:00,9.99,10.28,9.99,10.15,61783712.0,75.54165943114849
2025-02-21 00:00:00-05:00,10.18,10.23,10.07,10.11,42834250.0,73.52866303196723
2025-02-24 00:00:00-05:00,10.18,10.23,9.95,9.97,34888309.0,66.81747699566208
2025-02-25 00:00:00-05:00,9.92,9.96,9.87,9.89,29611894.0,63.26405901238721
2025-02-26 00:00:00-05:00,9.96,9.97,9.75,9.76,34061757.0,57.87758381588807
2025-02-27 00:00:00-05:00,9.78,9.78,9.62,9.63,27660512.0,53.01639501791954
2025-02-28 00:00:00-05:00,9.56,9.6,9.35,9.43,33537794.0,46.5400461901417
