strategy_formatted,variant_formatted,rank,ticker,training_return,testing_return,current_price
1ST→2ND,Basic Strategy,1,OPAD,20.08589604526396,5.416823447714636,5.145
1ST→2ND,Basic Strategy,2,ALTS,14.361013257681776,-12.601103305949124,7.87
1ST→2ND,Basic Strategy,3,THAR,9.933309933309964,-13.823669285040307,5.91
1ST→2ND,Basic Strategy,4,BMNR,-2.423288749016528,-27.14671298693505,43.62
1ST→2ND,Basic Strategy,5,PACK,-7.163681647488196,14.78024755210232,5.28
1ST→2ND,Basic Strategy,6,UNIT,-7.380416534684797,10.96698113207546,5.19
1ST→2ND,Basic Strategy,7,ETHD,-64.11839344602409,-30.007336757153347,6.531
1ST→2ND,Basic Strategy,8,SBET,-68.35260079405998,88.70011853022521,25.8182
1ST→2ND,RSI Filter (≤70),1,OPAD,20.08589604526396,2.420087552655481,5.145
1ST→2ND,RSI Filter (≤70),2,ALTS,14.361013257681776,-12.601103305949124,7.87
1ST→2ND,RSI Filter (≤70),3,THAR,9.933309933309964,-13.823669285040307,5.91
1ST→2ND,RSI Filter (≤70),4,BMNR,-2.423288749016528,90.9648273636657,43.62
1ST→2ND,RSI Filter (≤70),5,PACK,-7.163681647488196,14.78024755210232,5.28
1ST→2ND,RSI Filter (≤70),6,UNIT,-7.380416534684797,10.96698113207546,5.19
1ST→2ND,RSI Filter (≤70),7,SBET,-53.402602396161946,88.70011853022521,25.8182
1ST→2ND,RSI Filter (≤70),8,ETHD,-64.11839344602409,-30.007336757153347,6.531
1ST→2ND,Double Down (Thu),1,OPAD,24.764567319754782,12.91029163369588,5.145
1ST→2ND,Double Down (Thu),2,ALTS,20.454598846381057,-12.601103305949124,7.87
1ST→2ND,Double Down (Thu),3,THAR,15.356029257374558,-11.470652415018435,5.91
1ST→2ND,Double Down (Thu),4,BMNR,5.280135823429544,1.9064111425021624,43.62
1ST→2ND,Double Down (Thu),5,PACK,4.220181652131294,14.78024755210232,5.28
1ST→2ND,Double Down (Thu),6,UNIT,-1.7819899625501567,10.96698113207546,5.19
1ST→2ND,Double Down (Thu),7,ETHD,-56.63078321702244,-22.407482716551463,6.531
1ST→2ND,Double Down (Thu),8,SBET,-56.827597756351,88.70011853022521,25.8182
1ST→2ND,Stop Loss (Thu),1,OPAD,20.08589604526396,-10.735754338628723,5.145
1ST→2ND,Stop Loss (Thu),2,ALTS,13.469888479050486,-12.601103305949124,7.87
1ST→2ND,Stop Loss (Thu),3,THAR,9.933309933309964,-13.823669285040307,5.91
1ST→2ND,Stop Loss (Thu),4,UNIT,-10.217777953753549,10.96698113207546,5.19
1ST→2ND,Stop Loss (Thu),5,PACK,-14.921237016670673,14.78024755210232,5.28
1ST→2ND,Stop Loss (Thu),6,BMNR,-24.107002360346186,-17.92184171929985,43.62
1ST→2ND,Stop Loss (Thu),7,ETHD,-49.200874091544065,-19.58914159941305,6.531
1ST→2ND,Stop Loss (Thu),8,SBET,-55.51085887445271,88.70011853022521,25.8182
2ND→3RD,Basic Strategy,1,ALTS,37.76457155201432,1.6578950953369143,7.87
2ND→3RD,Basic Strategy,2,UNIT,-2.812551059118451,10.308182784272057,5.19
2ND→3RD,Basic Strategy,3,ETHD,-9.749671037992258,-38.574423480083844,6.531
2ND→3RD,Basic Strategy,4,PACK,-11.507045564172635,7.138980204204959,5.28
2ND→3RD,Basic Strategy,5,OPAD,-18.77704862170684,147.42887323126217,5.145
2ND→3RD,Basic Strategy,6,THAR,-25.766119789108323,9.095038975788562,5.91
2ND→3RD,Basic Strategy,7,BMNR,-32.87373004354135,-10.27262372681359,43.62
2ND→3RD,Basic Strategy,8,SBET,-63.88427863957802,5.737018425460638,25.8182
2ND→3RD,RSI Filter (≤70),1,ALTS,37.76457155201432,1.6578950953369143,7.87
2ND→3RD,RSI Filter (≤70),2,UNIT,-2.812551059118451,10.308182784272057,5.19
2ND→3RD,RSI Filter (≤70),3,ETHD,-9.749671037992258,-38.574423480083844,6.531
2ND→3RD,RSI Filter (≤70),4,PACK,-11.507045564172635,7.138980204204959,5.28
2ND→3RD,RSI Filter (≤70),5,OPAD,-18.77704862170684,147.42887323126217,5.145
2ND→3RD,RSI Filter (≤70),6,THAR,-25.766119789108323,9.095038975788562,5.91
2ND→3RD,RSI Filter (≤70),7,BMNR,-32.87373004354135,-10.27262372681359,43.62
2ND→3RD,RSI Filter (≤70),8,SBET,-63.88427863957802,5.737018425460638,25.8182
2ND→3RD,Double Down (Thu),1,ALTS,42.0861839725442,1.6578950953369143,7.87
2ND→3RD,Double Down (Thu),2,ETHD,-0.7961474320569817,-29.48255114320095,6.531
2ND→3RD,Double Down (Thu),3,UNIT,-2.812551059118451,10.308182784272057,5.19
2ND→3RD,Double Down (Thu),4,PACK,-7.754266374691587,7.138980204204959,5.28
