ticker,current_price,1st_to_2nd_training_return,1st_to_2nd_training_win_rate,1st_to_2nd_training_trades,1st_to_2nd_testing_return,1st_to_2nd_testing_win_rate,1st_to_2nd_testing_trades,2nd_to_3rd_training_return,2nd_to_3rd_training_win_rate,2nd_to_3rd_training_trades,2nd_to_3rd_testing_return,2nd_to_3rd_testing_win_rate,2nd_to_3rd_testing_trades,3rd_to_4th_training_return,3rd_to_4th_training_win_rate,3rd_to_4th_training_trades,3rd_to_4th_testing_return,3rd_to_4th_testing_win_rate,3rd_to_4th_testing_trades,last_to_1st_training_return,last_to_1st_training_win_rate,last_to_1st_training_trades,last_to_1st_testing_return,last_to_1st_testing_win_rate,last_to_1st_testing_trades
BMNR,46.03,-26.50211714481837,25.0,4,-62.774379718516535,33.33333333333333,3.0,94.66168522191913,50.0,4,-43.93813848848297,0.0,3.0,9.486707684051176,50.0,4,-15.627627627627627,0.0,3.0,-20.158468974432864,50.0,4,182.75104295963888,33.33333333333333,3.0
OKLO,26.35,-28.06689412960772,33.33333333333333,3,,,,50.51159888462069,66.66666666666666,3,,,,-25.18239950830572,33.33333333333333,3,,,,27.40357960244999,50.0,2,,,
HOOD,44.36,-23.67619353000273,33.33333333333333,3,,,,60.06085104040753,100.0,3,,,,-21.21417025165494,0.0,2,,,,2.1954469710586455,50.0,2,,,
SATS,30.52,-9.538412373903615,50.0,4,-25.860251679178916,0.0,2.0,20.421837514068343,75.0,4,71.32500489030069,100.0,2.0,3.634005521299377,50.0,4,-8.00259275408558,50.0,2.0,-4.632390747880299,75.0,4,-0.8336703824098013,50.0,2.0
MP,19.66,36.892408393800636,75.0,4,-16.06071882446386,0.0,1.0,-9.820140495050833,50.0,4,0.5397874735562525,100.0,1.0,13.360304063239559,75.0,4,,,,-4.588954554053948,50.0,4,,,
THAR,5.1,-9.43576923076922,50.0,4,6.913780660896229,66.66666666666666,3.0,-0.25419038878428113,25.0,4,-23.541333333333338,33.33333333333333,3.0,9.814220824176466,50.0,4,-11.16051446823847,33.33333333333333,3.0,-17.441395591649055,25.0,4,-17.872166849041136,33.33333333333333,3.0
CRWV,147.355,-12.129760225669962,0.0,4,54.64783922805259,100.0,2.0,-18.780096308186188,0.0,4,44.702129025567075,50.0,2.0,18.944099378881994,25.0,4,56.90916906979542,100.0,2.0,62.56362884775426,50.0,4,-5.114660043030328,0.0,2.0
TME,18.73,3.4076786977665474,50.0,4,8.727191697607605,100.0,2.0,13.088141520437135,75.0,4,17.04505763185469,100.0,1.0,23.528524652128425,75.0,4,6.863622799164437,100.0,1.0,-11.223035629347166,25.0,4,-3.043842502094396,0.0,1.0
BE,19.61,-2.472216974046415,50.0,4,16.125076640098122,100.0,1.0,12.324537709986739,75.0,4,1.5839493136219573,100.0,1.0,-15.353414840488878,25.0,4,2.75467775467777,100.0,1.0,-19.175004896176485,50.0,4,,,
IREN,6.045,-8.352080048208222,25.0,4,,,,10.82381109928221,75.0,4,,,,-23.752372711394955,33.33333333333333,3,,,,-23.80257042460435,33.33333333333333,3,,,
RBLX,85.09,-14.452109393141143,25.0,4,2.3395070324467193,100.0,1.0,21.87501184847669,100.0,4,10.504830589195802,100.0,1.0,11.952149937925949,75.0,4,5.147149365841663,100.0,1.0,4.247735561966048,75.0,4,,,
APLD,6.415,-20.52809988661365,33.33333333333333,3,,,,68.99346005951233,100.0,3,,,,-29.906210995238503,33.33333333333333,3,,,,-13.377880658436236,50.0,2,,,
SBET,25.55,-17.577794429177864,25.0,4,-32.10235136512466,33.33333333333333,3.0,-37.077080930969245,0.0,4,-57.133050813158206,33.33333333333333,3.0,-37.87516311673327,25.0,4,724.4803431522017,50.0,2.0,92.93157594096728,75.0,4,99.23852724778651,100.0,2.0
KGC,14.705,31.238022143402166,75.0,4,-5.6473829201102,0.0,1.0,15.2495587486428,75.0,4,1.8978102189781243,100.0,1.0,-1.7216100981677251,25.0,4,,,,-2.4109710963828412,25.0,4,,,
CDE,8.225,21.1167764580916,50.0,4,40.73394495412843,100.0,1.0,20.871119535486436,50.0,4,-2.868318122555402,0.0,1.0,-26.868256931934752,0.0,4,10.402684563758392,100.0,1.0,-11.972190598587352,25.0,4,,,
UUUU,5.465,12.450926985261134,50.0,4,3.4330011074197087,100.0,1.0,18.434467124955468,75.0,4,-7.28051391862955,0.0,1.0,-12.982544229155835,25.0,4,26.212471131639713,100.0,1.0,-22.733044976720418,25.0,4,,,
SMR,15.11,-12.608797933895865,33.33333333333333,3,,,,30.758387070308757,66.66666666666666,3,,,,-28.909917007541353,33.33333333333333,3,,,,-1.833285923627903,50.0,2,,,
XPEV,19.62,21.174887720111645,100.0,3,,,,42.23359571537202,100.0,3,,,,-9.231699583042907,66.66666666666666,3,,,,-0.42830556613108195,66.66666666666666,3,,,
NEM,50.78,36.541820633204104,100.0,4,-4.242881387893648,0.0,1.0,24.959081245329926,100.0,4,,,,-12.34431289906106,0.0,4,,,,-9.029689241817263,25.0,4,,,
RKLB,19.43,-17.851741937656705,33.33333333333333,3,,,,32.235042587842486,66.66666666666666,3,,,,-19.37778227596736,33.33333333333333,3,,,,-19.916297479846023,0.0,2,,,
JOBY,6.0392,-24.90496322825009,0.0,3,,,,20.80747288239575,100.0,3,,,,-18.55574265555201,33.33333333333333,3,,,,-6.714961396550279,0.0,2,,,
SOFI,11.95,-25.462470648786507,0.0,3,,,,56.03644216777033,100.0,3,,,,-23.33130683694279,0.0,2,,,,-9.652611161312418,0.0,2,,,
GDX,51.115,33.244575199310674,100.0,4,,,,15.834273461334568,66.66666666666666,3,,,,-2.7438042993371936,0.0,3,,,,-7.269562947418717,33.33333333333333,3,,,
HIMS,27.97,-5.833105215052359,33.33333333333333,3,,,,51.01713424381173,100.0,3,,,,-3.0719105017002812,66.66666666666666,3,,,,1.0057074742900296,50.0,2,,,
BZ,17.515,13.073717639346526,50.0,4,15.576789957011727,100.0,2.0,19.501248473076927,50.0,4,-0.04318385031510941,50.0,2.0,11.63802167512391,75.0,4,-6.978967609473219,0.0,2.0,-16.50731972638093,25.0,4,0.31250000000000444,100.0,1.0
RKT,12.4,-14.97758295553826,25.0,4,-2.097315436241609,0.0,1.0,24.015545010421093,75.0,4,11.053984575835486,100.0,1.0,1.2245059740270348,50.0,4,0.8487654320987525,100.0,1.0,17.821790580136245,50.0,4,-5.1262433052792655,0.0,1.0
FSM,6.795,35.31984758662687,75.0,4,-2.0137498483193683,50.0,2.0,4.075255056018112,50.0,4,-0.4492362982929099,0.0,1.0,-4.350057578936751,50.0,4,5.324909747292428,100.0,1.0,-1.4028097419491958,25.0,4,12.425021422450722,100.0,1.0
U,21.37,-20.484136619457338,25.0,4,,,,15.494227417418728,75.0,4,,,,49.17516396568846,75.0,4,,,,-24.933012552027023,0.0,3,,,
COMP,6.395,-11.764208819286226,25.0,4,-14.057454984444973,50.0,2.0,29.084018814873236,75.0,4,-3.6349574632637216,0.0,1.0,36.473796113807126,100.0,4,-3.93258426966292,0.0,1.0,-3.9003894345191803,50.0,4,-2.3391812865497186,0.0,1.0
RUN,11.77,-1.0047023488617302,50.0,4,57.24533715925397,100.0,1.0,-3.3278229116815106,25.0,4,3.0109489051094673,100.0,1.0,11.01929723144801,50.0,4,,,,-34.766813531966214,25.0,4,,,
CX,6.935,6.459114148663536,50.0,4,6.501953163728635,50.0,2.0,6.038093695349223,75.0,4,7.523569337011904,100.0,2.0,18.942189888919224,50.0,4,2.3919864832247173,50.0,2.0,-13.985381863449541,25.0,4,-5.21557719054242,0.0,1.0
APH,94.64,2.8983773867130136,50.0,4,8.301920268411255,100.0,2.0,2.6476160573906338,50.0,4,2.237215909090917,100.0,1.0,16.895800452647023,50.0,4,2.280884566400365,100.0,1.0,-3.528617470114981,50.0,4,2.2866198777450775,100.0,1.0
EQX,6.4298,37.96440811218782,75.0,4,-4.91093620085109,50.0,2.0,15.834561630613386,75.0,4,0.40584415584414835,100.0,1.0,-12.500457343408634,0.0,4,7.841552142279706,100.0,1.0,-10.029227922325745,25.0,4,2.998500749625199,100.0,1.0
