rank,ticker,training_return,testing_return,training_win_rate,testing_win_rate,consistency_gap,composite_score,risk_adjusted
1,PTHL,40.84332208058959,104.49070704524294,40.0,66.66666666666666,63.647384964653355,101.30833779701027,16.417124930312845
2,HL,38.68865901852578,39.03827554340329,80.0,66.66666666666666,0.3496165248775043,39.02079471715941,7.807655108680658
3,CRML,52.27194455988611,23.986352900008747,60.0,66.66666666666666,28.285591659877362,22.57207331701488,4.797270580001749
4,EQX,30.522440400193496,13.350783405597143,60.0,100.0,17.171656994596354,12.492200555867326,2.670156681119429
5,ECX,111.7177479088991,8.120921587174257,100.0,66.66666666666666,103.59682632172485,2.9410802710880137,0.7838967539366843
6,UBER,30.50035679321215,3.6141888053306648,60.0,66.66666666666666,26.886167987881485,2.2698804059365907,0.722837761066133
7,WBA,48.98807464026358,2.539540087046821,100.0,66.66666666666666,46.44853455321675,0.21711335938598308,0.5079080174093642
8,ARRY,62.22484303448248,-2.236391618965317,60.0,33.33333333333333,64.4612346534478,-5.459453351637707,-0.3469358958121818
9,SMCI,44.89979934748878,-14.241231512071716,80.0,66.66666666666666,59.141030859560495,-17.198283055049743,-2.4080120527303146
10,OKTA,48.399423272157314,-17.35710522692028,80.0,0.0,65.75652849907759,-20.64493165187416,-2.6396018194853093
