rank,ticker,training_return,testing_return,training_win_rate,testing_win_rate,consistency_gap,composite_score,risk_adjusted
1,ECX,51.70246772952576,23.3746556473829,60.0,66.66666666666666,28.327812082142856,21.95826504327576,4.6749311294765805
2,TSLL,75.90803340807928,14.41214073094963,60.0,66.66666666666666,61.495892677129646,11.337346097093148,2.3435940358842067
3,TSLG,75.90687202238551,14.200106215630726,60.0,66.66666666666666,61.70676580675479,11.114767925292986,2.301223541694078
4,TSLA,36.29663372635823,8.588753720437348,60.0,66.66666666666666,27.707880005920885,7.203359720141304,1.7177507440874695
5,WBD,35.70218527961726,8.21278871737774,100.0,66.66666666666666,27.48939656223952,6.838318889265763,1.6425577434755478
6,FFAI,78.17287518088196,0.6851821840477612,60.0,33.33333333333333,77.4876929968342,-3.189202465793949,0.08842464623069302
7,NVOX,53.77568617007149,-1.649292041546491,80.0,66.66666666666666,55.424978211617976,-4.42054095212739,-0.2975719783324647
8,IONQ,34.12677609721291,-1.9144851174191733,60.0,33.33333333333333,36.04126121463209,-3.7165481781507776,-0.38289702348383464
9,VCIG,27.4665676882448,-6.964533772915282,20.0,33.33333333333333,34.43110146116008,-8.686088845973286,-1.3929067545830565
10,CRWV,69.87038203100755,-7.674282041090297,40.0,33.33333333333333,77.54466407209785,-11.551515244695189,-0.9896595894664093
