ticker,median_dividend,current_price,forward_yield,dividend_count
ULTY,0.096,6.329999923706055,78.86256019221736,3
YMAX,0.135,13.930000305175781,50.39483019531359,3
YMAG,0.126,15.460000038146973,42.38033624730391,3
LFGY,0.48,40.439998626708984,61.72107034522729,3
GPTY,0.296,47.689998626708984,32.275111015372616,3
SDTY,0.148,45.34000015258789,16.973974358402668,3
QDTY,0.191,44.90869903564453,22.115982456131412,3
RDTY,0.304,45.70159912109375,34.58959927882208,3
CHPY,0.373,55.18000030517578,35.15041662328641,3
NFLW,0.459,48.28229904174805,49.43426571166829,2
IWMY,0.241,23.809999465942383,52.63334851361784,3
AMZW,0.393,52.060001373291016,39.25470507283646,2
MSII,0.247,26.709999084472656,48.086860502614584,3
RDTE,0.262,34.025001525878906,40.04114442033982,3
AAPW,0.265,36.09000015258789,38.18232181141148,3
COII,0.309,34.5099983215332,46.56041953492085,3
MST,0.286,18.93000030517578,78.56312604460837,3
BLOX,0.147,23.3700008392334,32.708599595629046,3
BRKW,0.212,47.7400016784668,23.09174615084354,2
COIW,0.799,62.459999084472656,66.51937337336385,3
HOOW,1.0755,69.19000244140625,80.8295968010134,2
METW,0.39,49.28879928588867,41.14525063264453,2
NVDW,0.473,50.81999969482422,48.3982686889016,3
PLTW,0.645,46.45000076293945,72.20667265684996,3
TSLW,0.469,34.2599983215332,71.18505894576059,3
QDTE,0.237,35.577301025390625,34.64006443660431,3
